complexity,loss,equation,score,sympy_format,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
27,3.836119,(((((DST - P_dyn) * (60.658382 - P_dyn)) + VBs) + VBs) * ((neg(0.68301916) - sqrt(P_dyn)) / (1903.5022 - ((DST + P_dyn) * 3.1531758)))) - 0.2515183,2.476458169515356e-06,(((((DST - P_dyn) * (60.658382 - P_dyn)) + VBs) + VBs) * ((neg(0.68301916) - sqrt(P_dyn)) / (1903.5022 - ((DST + P_dyn) * 3.1531758)))) - 0.2515183,PySRFunction(X=>(((((DST - P_dyn) * (60.658382 - P_dyn)) + VBs) + VBs) * ((neg(0.68301916) - sqrt(P_dyn)) / (1903.5022 - ((DST + P_dyn) * 3.1531758)))) - 0.2515183),37,23.6464615847127,18.23845050445484,0.5902355596520034,0.883320237675143,26.983444321764505
30,3.8357527,((((VBs + VBs) + (((DST / 0.9616477) - P_dyn) * (60.658382 - (1.1660786 * P_dyn)))) * (-0.6544258 - sqrt(P_dyn))) / (1903.5022 - ((DST + P_dyn) * 2.9858263))) - 0.30760518,2.685189644248846e-05,((((VBs + VBs) + (((DST / 0.9616477) - P_dyn) * (60.658382 - (1.1660786 * P_dyn)))) * (-0.6544258 - sqrt(P_dyn))) / (1903.5022 - ((DST + P_dyn) * 2.9858263))) - 0.30760518,PySRFunction(X=>((((VBs + VBs) + (((DST / 0.9616477) - P_dyn) * (60.658382 - (1.1660786 * P_dyn)))) * (-0.6544258 - sqrt(P_dyn))) / (1903.5022 - ((DST + P_dyn) * 2.9858263))) - 0.30760518),37,23.725044956663417,18.31874395182099,0.5891200094973453,0.8831329996396029,27.22437750652001
16,3.847088,(((sqrt(P_dyn) + 0.4845341) * (((P_dyn + -35.917274) * DST) - VBs)) * 0.000975697) - 0.2933647,0.0006587657305885,(((sqrt(P_dyn) + 0.4845341) * (((P_dyn + -35.917274) * DST) - VBs)) * 0.000975697) - 0.2933647,PySRFunction(X=>(((sqrt(P_dyn) + 0.4845341) * (((P_dyn + -35.917274) * DST) - VBs)) * 0.000975697) - 0.2933647),37,23.74673204624639,17.649291741559853,0.6085821655153411,0.8925359331958186,28.864268902087566
26,3.8361285,(((((DST - P_dyn) * (60.658382 - P_dyn)) + VBs) + VBs) * ((-0.6602011 - sqrt(P_dyn)) / (1903.5022 - ((DST + P_dyn) * 3.1531758)))) - 0.2515183,3.7445205775426034e-05,(((((DST - P_dyn) * (60.658382 - P_dyn)) + VBs) + VBs) * ((-0.6602011 - sqrt(P_dyn)) / (1903.5022 - ((DST + P_dyn) * 3.1531758)))) - 0.2515183,PySRFunction(X=>(((((DST - P_dyn) * (60.658382 - P_dyn)) + VBs) + VBs) * ((-0.6602011 - sqrt(P_dyn)) / (1903.5022 - ((DST + P_dyn) * 3.1531758)))) - 0.2515183),37,23.751375769643072,18.34126791945011,0.5863958378717025,0.882821031395024,27.07127236505492
14,3.848991,((DST / (-27.658804 - P_dyn)) + (-0.0010878938 * VBs)) * (sqrt(P_dyn) - -0.2817282),0.0001364939912419,((DST / (-27.658804 - P_dyn)) + (-0.0010878938 * VBs)) * (sqrt(P_dyn) - -0.2817282),PySRFunction(X=>((DST / (-27.658804 - P_dyn)) + (-0.0010878938 * VBs)) * (sqrt(P_dyn) - -0.2817282)),6,23.766696930313046,17.463535156898832,0.6043088572239195,0.8936063064331279,28.99657783941106
14,3.8575642,((VBs * sqrt(P_dyn)) - ((sqrt(sqrt(P_dyn)) * DST) / -0.025463399)) * -0.0011787498,0.0004097601555713,((VBs * sqrt(P_dyn)) - ((sqrt(sqrt(P_dyn)) * DST) / -0.025463399)) * -0.0011787498,PySRFunction(X=>((VBs * sqrt(P_dyn)) - ((sqrt(sqrt(P_dyn)) * DST) / -0.025463399)) * -0.0011787498),52,23.959677399418723,17.26018823342297,0.5970761333996519,0.8961718355766196,30.19675731644407
14,3.857561,((sqrt(P_dyn) * (VBs / -39.200268)) - (sqrt(sqrt(P_dyn)) * DST)) * 0.04616979,0.0004104601325497,((sqrt(P_dyn) * (VBs / -39.200268)) - (sqrt(sqrt(P_dyn)) * DST)) * 0.04616979,PySRFunction(X=>((sqrt(P_dyn) * (VBs / -39.200268)) - (sqrt(sqrt(P_dyn)) * DST)) * 0.04616979),21,23.981369464249344,17.275098041990606,0.5969209875145843,0.896168554394117,30.214460577151453
13,3.8591435,((DST + (VBs / 27.317719)) * -0.070172764) * (sqrt(sqrt(P_dyn)) + -0.38857362),0.0001365235663522,((DST + (VBs / 27.317719)) * -0.070172764) * (sqrt(sqrt(P_dyn)) + -0.38857362),PySRFunction(X=>((DST + (VBs / 27.317719)) * -0.070172764) * (sqrt(sqrt(P_dyn)) + -0.38857362)),51,24.15825374357537,18.528358480189233,0.530607727248382,0.8726165984873784,27.30094876476854
13,3.8591447,(sqrt(sqrt(P_dyn)) + -0.38482225) * (((VBs / -27.217451) - DST) * 0.069797166),0.0001358498912355,(sqrt(sqrt(P_dyn)) + -0.38482225) * (((VBs / -27.217451) - DST) * 0.069797166),PySRFunction(X=>(sqrt(sqrt(P_dyn)) + -0.38482225) * (((VBs / -27.217451) - DST) * 0.069797166)),21,24.181093975307206,18.540216359575417,0.5307795874467993,0.873164153633082,27.308981336639437
13,3.8591452,((sqrt(sqrt(P_dyn)) - 0.39847404) * -0.0025899422) * (VBs - (DST / -0.036534563)),0.0001359794183979,((sqrt(sqrt(P_dyn)) - 0.39847404) * -0.0025899422) * (VBs - (DST / -0.036534563)),PySRFunction(X=>((sqrt(sqrt(P_dyn)) - 0.39847404) * -0.0025899422) * (VBs - (DST / -0.036534563))),52,24.28612718272641,18.63817379148531,0.5242956129248774,0.8709335520877003,27.396803331592928
14,3.8523078,(sqrt(P_dyn) - -0.41555232) * (((DST * (P_dyn + -33.746265)) - VBs) * 0.0010092534),0.0005563955651146,(sqrt(P_dyn) - -0.41555232) * (((DST * (P_dyn + -33.746265)) - VBs) * 0.0010092534),PySRFunction(X=>(sqrt(P_dyn) - -0.41555232) * (((DST * (P_dyn + -33.746265)) - VBs) * 0.0010092534)),20,24.64901101574473,17.73101443137724,0.5987738984061137,0.8961183048384662,30.43443662932554
14,3.8521962,((sqrt(P_dyn) + 0.3720212) * -0.0010305507) * (VBs + ((33.762672 - P_dyn) * DST)),0.0005710232115596,((sqrt(P_dyn) + 0.3720212) * -0.0010305507) * (VBs + ((33.762672 - P_dyn) * DST)),PySRFunction(X=>((sqrt(P_dyn) + 0.3720212) * -0.0010305507) * (VBs + ((33.762672 - P_dyn) * DST))),13,24.859148251966992,17.894022890285523,0.5931084148840926,0.8955668089283316,30.629974940854673
