complexity,loss,equation,score,sympy_format,lambda_format,simulation
29,3.7928414,(((((-0.0022168825 - ((DST * 2.4834695e-5) / (P_dyn + 0.88083524))) * (VBs - (DST * 2.0065691))) + ((DST * -0.04592256) - -1.080887)) * sqrt(sqrt(P_dyn))) + -1.080887) / 0.97221464,6.62915489580437e-05,(((((-0.0022168825 - ((DST * 2.4834695e-5) / (P_dyn + 0.88083524))) * (VBs - (DST * 2.0065691))) + ((DST * -0.04592256) - -1.080887)) * sqrt(sqrt(P_dyn))) + -1.080887) / 0.97221464,PySRFunction(X=>(((((-0.0022168825 - ((DST * 2.4834695e-5) / (P_dyn + 0.88083524))) * (VBs - (DST * 2.0065691))) + ((DST * -0.04592256) - -1.080887)) * sqrt(sqrt(P_dyn))) + -1.080887) / 0.97221464),30
25,3.7930672,((((DST + ((((0.00068898086 * DST) / (P_dyn - -1.0453242)) + 0.0536481) * (VBs - DST))) * -0.04301991) + 1.3007078) * sqrt(sqrt(P_dyn))) + -1.253935,0.0001121394046697,((((DST + ((((0.00068898086 * DST) / (P_dyn - -1.0453242)) + 0.0536481) * (VBs - DST))) * -0.04301991) + 1.3007078) * sqrt(sqrt(P_dyn))) + -1.253935,PySRFunction(X=>((((DST + ((((0.00068898086 * DST) / (P_dyn - -1.0453242)) + 0.0536481) * (VBs - DST))) * -0.04301991) + 1.3007078) * sqrt(sqrt(P_dyn))) + -1.253935),49
27,3.7931287,((((((VBs - (DST / 0.32850307)) * (((DST * 0.00046556332) / (P_dyn - -0.7108422)) - -0.04724619)) + DST) * -0.04724619) - -1.0908298) * sqrt(sqrt(P_dyn))) - 1.0486304,0.000289215775796,((((((VBs - (DST / 0.32850307)) * (((DST * 0.00046556332) / (P_dyn - -0.7108422)) - -0.04724619)) + DST) * -0.04724619) - -1.0908298) * sqrt(sqrt(P_dyn))) - 1.0486304,PySRFunction(X=>((((((VBs - (DST / 0.32850307)) * (((DST * 0.00046556332) / (P_dyn - -0.7108422)) - -0.04724619)) + DST) * -0.04724619) - -1.0908298) * sqrt(sqrt(P_dyn))) - 1.0486304),15
28,3.793291,(((0.046487417 * (((VBs - (DST / neg(-0.31657064))) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST)) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705,1.3233803531569094e-05,(((0.046487417 * (((VBs - (DST / neg(-0.31657064))) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST)) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705,PySRFunction(X=>(((0.046487417 * (((VBs - (DST / neg(-0.31657064))) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST)) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705),40
27,3.7933412,(((0.046487417 * (((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST)) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705,0.0002596376619362,(((0.046487417 * (((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST)) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705,PySRFunction(X=>(((0.046487417 * (((VBs - (DST / 0.32795247)) * (((DST / (P_dyn + 0.90345925)) * -0.0005291182) + -0.047621425)) - DST)) + 0.97621524) * sqrt(sqrt(P_dyn))) + -0.90982705),40
27,3.7933443,((((-0.0022168825 - (DST * (2.4834695e-5 / (P_dyn + 0.88083524)))) * (VBs - (DST * 2.6941755))) + ((DST * -0.04592256) - -1.080887)) * sqrt(sqrt(P_dyn))) + -1.080887,0.0001500034250303,((((-0.0022168825 - (DST * (2.4834695e-5 / (P_dyn + 0.88083524)))) * (VBs - (DST * 2.6941755))) + ((DST * -0.04592256) - -1.080887)) * sqrt(sqrt(P_dyn))) + -1.080887,PySRFunction(X=>((((-0.0022168825 - (DST * (2.4834695e-5 / (P_dyn + 0.88083524)))) * (VBs - (DST * 2.6941755))) + ((DST * -0.04592256) - -1.080887)) * sqrt(sqrt(P_dyn))) + -1.080887),30
30,3.793345,(square((DST * -0.015411367) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn / 1.0647293) + inv(square(square(square(square(DST * -0.01072127))) + 1.136771))))) - 2.7731056,7.318861840295027e-05,(square((DST * -0.015411367) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn / 1.0647293) + inv(square(square(square(square(DST * -0.01072127))) + 1.136771))))) - 2.7731056,PySRFunction(X=>(square((DST * -0.015411367) + 1.1170775) + (((VBs * -0.0010719849) + 0.86271703) * (sqrt(P_dyn / 1.0647293) + inv(square(square(square(square(DST * -0.01072127))) + 1.136771))))) - 2.7731056),31
28,3.7935905,((DST - (sqrt(P_dyn) + P_dyn)) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),4.707830113464268e-05,((DST - (sqrt(P_dyn) + P_dyn)) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),PySRFunction(X=>((DST - (sqrt(P_dyn) + P_dyn)) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn)))),36
27,3.7937236,(sqrt(sqrt(P_dyn)) * (((((0.94307655 - ((DST * -0.0120122535) / (P_dyn + 1.0203711))) * (VBs - DST)) - (DST / -0.05494293)) * -0.0024322362) + 0.95324475)) - 0.9171312,0.0002952072410649,(sqrt(sqrt(P_dyn)) * (((((0.94307655 - ((DST * -0.0120122535) / (P_dyn + 1.0203711))) * (VBs - DST)) - (DST / -0.05494293)) * -0.0024322362) + 0.95324475)) - 0.9171312,PySRFunction(X=>(sqrt(sqrt(P_dyn)) * (((((0.94307655 - ((DST * -0.0120122535) / (P_dyn + 1.0203711))) * (VBs - DST)) - (DST / -0.05494293)) * -0.0024322362) + 0.95324475)) - 0.9171312),52
27,3.7937691,((DST - (1.442727 * P_dyn)) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),7.52493125794454e-05,((DST - (1.442727 * P_dyn)) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn))),PySRFunction(X=>((DST - (1.442727 * P_dyn)) + ((square(P_dyn) + VBs) / (square(square(DST / square(P_dyn - -5.2597647))) + 21.536577))) / (-22.250631 / sqrt(sqrt(P_dyn)))),36
