complexity,loss,equation,score,sympy_format,lambda_format,simulation,TEST_RMSE,TEST_MAE,TEST_R2,TEST_CC,TEST_BFE
27,3.8037744,(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226)),0.0017587846133973,(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226)),PySRFunction(X=>(Np * 0.120446585) - (((((Bzsouth + 1.2775543) + ((((Np + (DST * 0.03913002)) * Bzsouth) * Vp) * 0.00012573834)) * Vp) * 0.0017270576) + (DST * 0.066715226))),10,15.667348235576293,12.073510761531143,0.7448981048264256,0.9170151542378798,18.596974156370514
21,3.8235185,(((-0.015159594 - ((sqrt(Np) * Bzsouth) * 0.006425298)) / inv(Vp + DST)) + (Np - (DST * 0.38008097))) / 6.363088,4.166232793662615e-05,(((-0.015159594 - ((sqrt(Np) * Bzsouth) * 0.006425298)) / inv(Vp + DST)) + (Np - (DST * 0.38008097))) / 6.363088,PySRFunction(X=>(((-0.015159594 - ((sqrt(Np) * Bzsouth) * 0.006425298)) / inv(Vp + DST)) + (Np - (DST * 0.38008097))) / 6.363088),16,15.790025662588807,11.873524924761762,0.7467789357972319,0.918792123758925,18.726562399909863
29,3.8024962,(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226)),0.0001680455612546,(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226)),PySRFunction(X=>(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226))),10,15.837157239319563,12.18263784278207,0.741385211996065,0.9157171993202692,18.927971916077247
20,3.8236778,((DST + Vp) * (0.0010236258 * (-2.4902163 - (Bzsouth * sqrt(Np))))) + (((DST * -0.36444232) + Np) / 5.99583),0.0004573607176858,((DST + Vp) * (0.0010236258 * (-2.4902163 - (Bzsouth * sqrt(Np))))) + (((DST * -0.36444232) + Np) / 5.99583),PySRFunction(X=>((DST + Vp) * (0.0010236258 * (-2.4902163 - (Bzsouth * sqrt(Np))))) + (((DST * -0.36444232) + Np) / 5.99583)),16,15.843596555455076,11.954841414110524,0.7424565292074201,0.9178951302397355,18.66782283251822
23,3.8112729,(((Vp * (((DST * 0.00064852246) / (-0.98426753 - Np)) - 0.043263856)) * Bzsouth) - DST) / (47.35971 / sqrt(sqrt(Np * Bmag))),0.0016320063777728,(((Vp * (((DST * 0.00064852246) / (-0.98426753 - Np)) - 0.043263856)) * Bzsouth) - DST) / (47.35971 / sqrt(sqrt(Np * Bmag))),PySRFunction(X=>(((Vp * (((DST * 0.00064852246) / (-0.98426753 - Np)) - 0.043263856)) * Bzsouth) - DST) / (47.35971 / sqrt(sqrt(Np * Bmag)))),2,15.870683023784991,12.113796287545755,0.7331245895307117,0.909112501809006,18.46142671560261
27,3.798419,(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag))),0.0005767231375923,(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag))),PySRFunction(X=>(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag)))),2,15.95304744720752,12.327823523317518,0.7244891719110464,0.9132836323195865,18.406017741044185
30,3.8018968,(Np * 0.1316254) - (((((((0.5504825 * DST) - Bmag) + Vp) * (3.30009 + ((sqrt(Np) * Bzsouth) + Bzsouth))) * -0.010745671) - DST) * ((0.14023353 / Bmag) + -0.08236732)),0.0002248634770026,(Np * 0.1316254) - (((((((0.5504825 * DST) - Bmag) + Vp) * (3.30009 + ((sqrt(Np) * Bzsouth) + Bzsouth))) * -0.010745671) - DST) * ((0.14023353 / Bmag) + -0.08236732)),PySRFunction(X=>(Np * 0.1316254) - (((((((0.5504825 * DST) - Bmag) + Vp) * (3.30009 + ((sqrt(Np) * Bzsouth) + Bzsouth))) * -0.010745671) - DST) * ((0.14023353 / Bmag) + -0.08236732))),1,16.051426234245607,12.03593863178905,0.7551791881339962,0.9214603008121344,18.947686661276606
22,3.8098423,(DST + (((((DST * (4.498347 - sqrt(Np))) + Vp) * 0.05406117) * Bzsouth) - Np)) / (-12.62949 - (56.254406 / Bmag)),0.0014139891166196,(DST + (((((DST * (4.498347 - sqrt(Np))) + Vp) * 0.05406117) * Bzsouth) - Np)) / (-12.62949 - (56.254406 / Bmag)),PySRFunction(X=>(DST + (((((DST * (4.498347 - sqrt(Np))) + Vp) * 0.05406117) * Bzsouth) - Np)) / (-12.62949 - (56.254406 / Bmag))),15,16.162590188669846,11.825157331812829,0.7476117496891643,0.9099048281959078,19.01842003853707
25,3.8028028,((((((0.0009415376 / (-1.3535208 - Np)) * DST) - 0.052350152) * Bzsouth) * Vp) - (DST - Np)) / (54.41149 / sqrt(sqrt(Bmag * Np))),0.0011124270138132,((((((0.0009415376 / (-1.3535208 - Np)) * DST) - 0.052350152) * Bzsouth) * Vp) - (DST - Np)) / (54.41149 / sqrt(sqrt(Bmag * Np))),PySRFunction(X=>((((((0.0009415376 / (-1.3535208 - Np)) * DST) - 0.052350152) * Bzsouth) * Vp) - (DST - Np)) / (54.41149 / sqrt(sqrt(Bmag * Np)))),2,16.206590365780304,12.472922806084439,0.7198146270039008,0.9126805601552871,18.403682802625177
24,3.7916873,((((Bzsouth * 0.0012057658) * (Vp - 168.3989)) - 0.7863517) * ((DST * -0.0079295635) - (sqrt(Np) + 0.9382792))) + ((DST * -0.06651169) + -2.627629),0.0010513534978677,((((Bzsouth * 0.0012057658) * (Vp - 168.3989)) - 0.7863517) * ((DST * -0.0079295635) - (sqrt(Np) + 0.9382792))) + ((DST * -0.06651169) + -2.627629),PySRFunction(X=>((((Bzsouth * 0.0012057658) * (Vp - 168.3989)) - 0.7863517) * ((DST * -0.0079295635) - (sqrt(Np) + 0.9382792))) + ((DST * -0.06651169) + -2.627629)),4,16.21043375374917,12.84398533145126,0.704612629992931,0.9100624410385908,18.433146083846122
24,3.8048077,((DST - Np) + (Bmag + ((Vp + ((4.378272 - sqrt(Np)) * DST)) * (Bzsouth * 0.044066433)))) / (-10.365372 - (54.477882 / Bmag)),0.0006611729670601,((DST - Np) + (Bmag + ((Vp + ((4.378272 - sqrt(Np)) * DST)) * (Bzsouth * 0.044066433)))) / (-10.365372 - (54.477882 / Bmag)),PySRFunction(X=>((DST - Np) + (Bmag + ((Vp + ((4.378272 - sqrt(Np)) * DST)) * (Bzsouth * 0.044066433)))) / (-10.365372 - (54.477882 / Bmag))),15,16.21891884188638,12.027364878379837,0.7471195149540203,0.9173252356175927,18.722096875104462
30,3.7892406,((-0.06690711 * DST) + -2.5263886) + ((((((Bzsouth + Bzsouth) + DST) * -0.008291428) - sqrt(Np)) + -0.60579747) * (((((Vp - Bmag) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)),5.19998000700028e-05,((-0.06690711 * DST) + -2.5263886) + ((((((Bzsouth + Bzsouth) + DST) * -0.008291428) - sqrt(Np)) + -0.60579747) * (((((Vp - Bmag) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405)),PySRFunction(X=>((-0.06690711 * DST) + -2.5263886) + ((((((Bzsouth + Bzsouth) + DST) * -0.008291428) - sqrt(Np)) + -0.60579747) * (((((Vp - Bmag) - 159.63905) * Bzsouth) * 0.0013296593) - 0.84098405))),4,16.31642714222467,12.999060097635518,0.6983031125978938,0.9086770474316787,18.4269391634284
