complexity,loss,equation,score,sympy_format,lambda_format,simulation
27,3.795279,(sqrt(Np) + -2.1294987) + ((((((Bzsouth * (-143.73756 + Vp)) * sqrt(Np)) + (DST * (Bmag + Bzsouth))) * -0.026245873) - (Bmag + DST)) / 19.122902),0.0007241388266097,(sqrt(Np) + -2.1294987) + ((((((Bzsouth * (-143.73756 + Vp)) * sqrt(Np)) + (DST * (Bmag + Bzsouth))) * -0.026245873) - (Bmag + DST)) / 19.122902),PySRFunction(X=>(sqrt(Np) + -2.1294987) + ((((((Bzsouth * (-143.73756 + Vp)) * sqrt(Np)) + (DST * (Bmag + Bzsouth))) * -0.026245873) - (Bmag + DST)) / 19.122902)),3
23,3.7956758,((DST * -0.068679936) + -2.7448597) + (((square(Vp * 0.0012337118) * Bzsouth) - 0.78754276) * ((-0.007035051 * DST) - (sqrt(Np) + 0.78754276))),0.0018313816060773,((DST * -0.068679936) + -2.7448597) + (((square(Vp * 0.0012337118) * Bzsouth) - 0.78754276) * ((-0.007035051 * DST) - (sqrt(Np) + 0.78754276))),PySRFunction(X=>((DST * -0.068679936) + -2.7448597) + (((square(Vp * 0.0012337118) * Bzsouth) - 0.78754276) * ((-0.007035051 * DST) - (sqrt(Np) + 0.78754276)))),4
27,3.798419,(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag))),0.0005767231375923,(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag))),PySRFunction(X=>(((Vp * ((DST * (0.0007285958 / (-1.1511712 - Np))) - 0.045781374)) * (Bzsouth + 0.27216995)) - (DST - Np)) / (48.068405 / sqrt(sqrt(Np * Bmag)))),2
29,3.7999701,((((sqrt(sqrt(Np)) * (Vp + ((DST + DST) / sqrt(Np)))) * -0.0027239453) + -0.26050872) * ((Bzsouth - (DST * -0.029265162)) - -1.17527)) + (sqrt(Np) + Bzsouth),0.0004239397770659,((((sqrt(sqrt(Np)) * (Vp + ((DST + DST) / sqrt(Np)))) * -0.0027239453) + -0.26050872) * ((Bzsouth - (DST * -0.029265162)) - -1.17527)) + (sqrt(Np) + Bzsouth),PySRFunction(X=>((((sqrt(sqrt(Np)) * (Vp + ((DST + DST) / sqrt(Np)))) * -0.0027239453) + -0.26050872) * ((Bzsouth - (DST * -0.029265162)) - -1.17527)) + (sqrt(Np) + Bzsouth)),13
25,3.8007796,((((((DST * (Bmag + Bzsouth)) + ((Bzsouth * (Vp + -143.72925)) * sqrt(Np))) * -0.027476136) - DST) / 19.712595) + sqrt(Np)) + -2.4688275,0.0007007684805679,((((((DST * (Bmag + Bzsouth)) + ((Bzsouth * (Vp + -143.72925)) * sqrt(Np))) * -0.027476136) - DST) / 19.712595) + sqrt(Np)) + -2.4688275,PySRFunction(X=>((((((DST * (Bmag + Bzsouth)) + ((Bzsouth * (Vp + -143.72925)) * sqrt(Np))) * -0.027476136) - DST) / 19.712595) + sqrt(Np)) + -2.4688275),3
28,3.8015814,(Bzsouth + sqrt(Np)) + ((-0.25702006 + ((DST + (sqrt(sqrt(Np)) * (Vp + (DST / Np)))) * -0.0027239453)) * ((Bzsouth - (DST * -0.029265162)) - -1.17527)),0.0001760273216368,(Bzsouth + sqrt(Np)) + ((-0.25702006 + ((DST + (sqrt(sqrt(Np)) * (Vp + (DST / Np)))) * -0.0027239453)) * ((Bzsouth - (DST * -0.029265162)) - -1.17527)),PySRFunction(X=>(Bzsouth + sqrt(Np)) + ((-0.25702006 + ((DST + (sqrt(sqrt(Np)) * (Vp + (DST / Np)))) * -0.0027239453)) * ((Bzsouth - (DST * -0.029265162)) - -1.17527))),13
30,3.8018968,(Np * 0.1316254) - (((((((0.5504825 * DST) - Bmag) + Vp) * (3.30009 + ((sqrt(Np) * Bzsouth) + Bzsouth))) * -0.010745671) - DST) * ((0.14023353 / Bmag) + -0.08236732)),0.0002248634770026,(Np * 0.1316254) - (((((((0.5504825 * DST) - Bmag) + Vp) * (3.30009 + ((sqrt(Np) * Bzsouth) + Bzsouth))) * -0.010745671) - DST) * ((0.14023353 / Bmag) + -0.08236732)),PySRFunction(X=>(Np * 0.1316254) - (((((((0.5504825 * DST) - Bmag) + Vp) * (3.30009 + ((sqrt(Np) * Bzsouth) + Bzsouth))) * -0.010745671) - DST) * ((0.14023353 / Bmag) + -0.08236732))),1
29,3.802281,(((sqrt(sqrt(Bzsouth) + Np) * ((Vp - Np) - (DST * (-3.2089617 / sqrt(Np))))) * (Bzsouth * -0.0009065264)) + sqrt(Np)) - ((DST * 0.060239356) - -2.4211862),0.0002039149328306,(((sqrt(sqrt(Bzsouth) + Np) * ((Vp - Np) - (DST * (-3.2089617 / sqrt(Np))))) * (Bzsouth * -0.0009065264)) + sqrt(Np)) - ((DST * 0.060239356) - -2.4211862),PySRFunction(X=>(((sqrt(sqrt(Bzsouth) + Np) * ((Vp - Np) - (DST * (-3.2089617 / sqrt(Np))))) * (Bzsouth * -0.0009065264)) + sqrt(Np)) - ((DST * 0.060239356) - -2.4211862)),11
29,3.8024962,(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226)),0.0001680455612546,(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226)),PySRFunction(X=>(Np * 0.120446585) - ((((((Bzsouth * (((Vp - Np) * 0.00012573834) * (Np + (DST * 0.0364781)))) + Bzsouth) + 1.2775543) * Vp) * 0.0017270576) + (DST * 0.066715226))),10
22,3.8026335,((DST * -0.06727313) + (((Bzsouth * ((Vp + -174.75798) * 0.0015818799)) - 1.034009) * ((DST * -0.005260706) - sqrt(Np)))) + -2.5840185,0.0019712271852321,((DST * -0.06727313) + (((Bzsouth * ((Vp + -174.75798) * 0.0015818799)) - 1.034009) * ((DST * -0.005260706) - sqrt(Np)))) + -2.5840185,PySRFunction(X=>((DST * -0.06727313) + (((Bzsouth * ((Vp + -174.75798) * 0.0015818799)) - 1.034009) * ((DST * -0.005260706) - sqrt(Np)))) + -2.5840185),4
