Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation,Pred_dDST_dt_Equation,Injection_Component,Decay_Component,Pred_DST_Equation_1,Pred_dDST_dt_Equation_1,Injection_Component_1,Decay_Component_1,Pred_DST_Equation_2,Pred_dDST_dt_Equation_2,Injection_Component_2,Decay_Component_2,Pred_DST_Equation_3,Pred_dDST_dt_Equation_3,Injection_Component_3,Decay_Component_3,Pred_DST_Equation_4,Pred_dDST_dt_Equation_4,Injection_Component_4,Decay_Component_4,Pred_DST_Equation_5,Pred_dDST_dt_Equation_5,Injection_Component_5,Decay_Component_5,Pred_DST_Equation_6,Pred_dDST_dt_Equation_6,Injection_Component_6,Decay_Component_6,Pred_DST_Equation_7,Pred_dDST_dt_Equation_7,Injection_Component_7,Decay_Component_7
1998-08-04 00:00:00,6.0,0.0,7.100100683142089,0.10010068314208909,-0.8204095745488894,0.9205102576909785,7.105748460773593,0.10574846077359257,-1.577340450863983,1.6830889116375756,7.092125520551978,0.09212552055197798,-1.3433713359019948,1.4354968564539727,7.073902320353454,0.07390232035345412,-1.452759369740893,1.526661690094347,7.136447175216713,0.13644717521671246,-1.0512131986989166,1.187660373915629,7.095067519193458,0.0950675191934578,-1.2705835915315415,1.3656511107249993,7.076069331360761,0.07606933136076122,-1.3652551058364044,1.4413244371971656,7.100100683142089,0.10010068314208909,-0.8204095745488894,0.9205102576909785
1998-08-04 01:00:00,6.0,-2.0,6.8419579172394425,-0.2581427659026466,-1.1754889864843534,0.9173462205817068,6.885782164716488,-0.21996629605710494,-1.8988517703169239,1.678885474259819,6.844137726065734,-0.24798779448624408,-1.6799918035830745,1.4320040090968305,6.840248805097289,-0.2336535152561654,-1.7575035179889862,1.5238500027328208,6.9224357984628355,-0.21401137675387716,-1.396929628276482,1.1829182515226049,6.847268867847763,-0.24779865134569534,-1.60992121132401,1.3621225599783147,6.848473782451873,-0.2275955489088879,-1.6661128033035173,1.4385172543946294,6.8419579172394425,-0.2581427659026466,-1.1754889864843534,0.9173462205817068
1998-08-04 02:00:00,4.0,-2.0,6.102101881355138,-0.7398560358843044,-1.6653728633223197,0.9255168274380153,6.186356802801253,-0.6994253619152351,-2.387060267182092,1.6876349052668569,6.0766698301860265,-0.7674678958797072,-2.2088838032842437,1.4414159074045365,6.142961849862709,-0.6972869552345806,-2.2300353944818685,1.5327484392472879,6.214546022219978,-0.7078897762428573,-1.898250066534322,1.1903602902914647,6.073438103153589,-0.7738307646941738,-2.1451602407030803,1.3713294760089065,6.159852364485288,-0.6886214179665855,-2.1355457738195773,1.4469243558529918,6.102101881355138,-0.7398560358843044,-1.6653728633223197,0.9255168274380153
1998-08-04 03:00:00,2.0,-4.0,2.245817288183414,-3.8562845931717242,-4.8054196760025745,0.9491350828308502,2.294945127610328,-3.891411675190925,-5.607018192748283,1.7156065175573578,1.8612470491111663,-4.21542278107486,-5.686161789991541,1.4707390089166805,2.200850181424652,-3.9421116684380566,-5.501569522527404,1.5594578540893478,2.36886683556441,-3.8456791866555684,-5.060821917665396,1.2151427310098275,1.796807894136502,-4.276630209017087,-5.676910865008899,1.400280655991812,2.2612441082309536,-3.8986082562543345,-5.371118623032643,1.4725103667783086,2.245817288183414,-3.8562845931717242,-4.8054196760025745,0.9491350828308502
1998-08-04 04:00:00,-2.0,-3.0,0.6400013926884283,-1.605815895494986,-2.6828718650862173,1.0770559695912314,0.7898016397519996,-1.5051434878583283,-3.380574352800855,1.8754308649425266,0.237813645318665,-1.6234334037925013,-3.2604984526023175,1.6370650488098162,0.7144963701730687,-1.4863538112515835,-3.201152499640551,1.7147986883889677,0.7998130555392575,-1.5690537800251523,-2.9232907593209396,1.3542369792957873,0.1536925464095269,-1.643115347726975,-3.2088508370437254,1.5657354893167503,0.7891315364031481,-1.4721125718278054,-3.0937058007001856,1.6215932288723802,0.6400013926884283,-1.605815895494986,-2.6828718650862173,1.0770559695912314
1998-08-04 05:00:00,-5.0,-5.0,-1.7625612977365286,-2.402562690424957,-3.5352709672915332,1.1327082768665766,-1.5946734749034666,-2.384475114655466,-4.32363246903846,1.9391573543829943,-2.3331685758427705,-2.5709822211614357,-4.274478251356971,1.7034960301955355,-1.6582332323799158,-2.3727296025529845,-4.148013108558094,1.7752835060051093,-1.5834063016041693,-2.383219357143427,-3.7963718417940804,1.4131524846506536,-2.4470391828820244,-2.6007317292915513,-4.232492468402729,1.6317607391111775,-1.5608501333361573,-2.3499816697393054,-4.029737893137626,1.6797562233983205,-1.7625612977365286,-2.402562690424957,-3.5352709672915332,1.1327082768665766
1998-08-04 06:00:00,-10.0,0.0,-2.710575334780708,-0.9480140370441794,-2.1666048975115313,1.2185908604673519,-2.561079337585104,-0.9664058626816376,-3.008699254840828,2.0422933921591904,-3.3823244226879057,-1.0491558468451354,-2.8605595467843274,1.811403699939192,-2.6169969697843207,-0.9587637374044049,-2.832774161686804,1.8740104242823992,-2.511006929545263,-0.9276006279410935,-2.432638882244915,1.5050382543038217,-3.5061212657682086,-1.059082082886184,-2.798134994310289,1.739052911424105,-2.515390027723603,-0.9545398943874459,-2.729267299407054,1.774727405019608,-2.710575334780708,-0.9480140370441794,-2.1666048975115313,1.2185908604673519
1998-08-04 07:00:00,-10.0,2.0,-2.304076613794777,0.4064987209859311,-0.8468434574636873,1.2533421784496184,-2.10438781877827,0.4566915188068341,-1.628162910874691,2.084854429681525,-2.912589447123575,0.4697349755643303,-1.386655229344919,1.8563902049092493,-2.2019033043815464,0.41509366540277415,-1.4995677838238493,1.9146614492266234,-2.0757955607335825,0.43521136881168054,-1.1063732190406141,1.5415845878522947,-3.0339198088497663,0.4722014569184423,-1.3115222384390643,1.7837236953575066,-2.1105845396481167,0.40480548807548633,-1.4092441019867155,1.8140495900622018,-2.304076613794777,0.4064987209859311,-0.8468434574636873,1.2533421784496184
1998-08-04 08:00:00,-8.0,4.0,-1.9163532447211122,0.3877233690736649,-0.8506579671501265,1.2383813362237914,-1.6751978156565592,0.42919000312171085,-1.6354967848509199,2.0646867879726307,-2.4693103766636844,0.44327907045989057,-1.3929012595379482,1.8361803299978388,-1.811217543198138,0.39068576118340825,-1.5063224157294908,1.897008176912899,-1.6622174461427925,0.41357811459078997,-1.1108050825177587,1.5243831971085486,-2.5876128116673494,0.44630699718241673,-1.317429840651036,1.7637368378334528,-1.7288553730394267,0.38172916660868994,-1.4155918811780261,1.797321047786716,-1.9163532447211122,0.3877233690736649,-0.8506579671501265,1.2383813362237914
1998-08-04 09:00:00,-4.0,3.0,-1.5431283047283384,0.37322493999277384,-0.8509702661887824,1.2241952061815562,-1.2654720694356634,0.40972574622089586,-1.6360972189776286,2.0458229651985245,-2.0455128706452026,0.42379750601848176,-1.393412630430945,1.8172101364494269,-1.4376253464279902,0.3735921967701479,-1.5068754265287834,1.8804676232989312,-1.2614721879749895,0.40074525816780304,-1.1073810171394194,1.5081262753072224,-2.1605767853796713,0.4270360262876782,-1.317913503990028,1.7449495302777063,-1.363349833526456,0.3655055395129707,-1.4161115823983674,1.7816171219113381,-1.5431283047283384,0.37322493999277384,-0.8509702661887824,1.2241952061815562
