Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation,Pred_dDST_dt_Equation,Injection_Component,Decay_Component,Pred_DST_Equation_1,Pred_dDST_dt_Equation_1,Injection_Component_1,Decay_Component_1
2021-11-02 00:00:00,15.0,-9.0,14.397377590279246,-1.602622409720754,-2.946776760773671,1.344154351052917,14.397377590279246,-1.602622409720754,-2.946776760773671,1.344154351052917
2021-11-02 01:00:00,6.0,-9.0,10.52374803773244,-3.873629552546806,-5.275351921306407,1.4017223687596008,10.52374803773244,-3.873629552546806,-5.275351921306407,1.4017223687596008
2021-11-02 02:00:00,-3.0,-8.0,8.559091855081078,-1.9646561826513627,-3.5105084178653736,1.545852235214011,8.559091855081078,-1.9646561826513627,-3.5105084178653736,1.545852235214011
2021-11-02 03:00:00,-11.0,-1.0,5.16285499953106,-3.396236855550018,-5.017885256086198,1.6216484005361802,5.16285499953106,-3.396236855550018,-5.017885256086198,1.6216484005361802
2021-11-02 04:00:00,-12.0,2.0,2.9765520986909673,-2.1863029008400927,-3.9432559591241927,1.7569530582841,2.9765520986909673,-2.1863029008400927,-3.9432559591241927,1.7569530582841
2021-11-02 05:00:00,-10.0,-2.0,-1.7131064683257184,-4.689658567016686,-6.5365810185913285,1.846922451574643,-1.7131064683257184,-4.689658567016686,-6.5365810185913285,1.846922451574643
2021-11-02 06:00:00,-12.0,2.0,-3.1280626306687775,-1.414956162343059,-3.4624418087812034,2.0474856464381443,-3.1280626306687775,-1.414956162343059,-3.4624418087812034,2.0474856464381443
2021-11-02 07:00:00,-10.0,3.0,-3.859398419775087,-0.7313357891063093,-2.8413647658674357,2.1100289767611264,-3.859398419775087,-0.7313357891063093,-2.8413647658674357,2.1100289767611264
2021-11-02 08:00:00,-7.0,2.0,-4.240642124924576,-0.381243705149489,-2.5239677397722935,2.1427240346228045,-4.240642124924576,-0.381243705149489,-2.5239677397722935,2.1427240346228045
2021-11-02 09:00:00,-5.0,1.0,-4.5519898715579705,-0.3113477466333947,-2.471215312925736,2.1598675662923412,-4.5519898715579705,-0.3113477466333947,-2.471215312925736,2.1598675662923412
2021-11-02 10:00:00,-4.0,0.0,-6.66798549877673,-2.1159956272187594,-4.289914357874631,2.1739187306558714,-6.66798549877673,-2.1159956272187594,-4.289914357874631,2.1739187306558714
2021-11-02 11:00:00,-4.0,-5.0,-9.380891873810725,-2.7129063750339957,-4.983527196010042,2.270620820976046,-9.380891873810725,-2.7129063750339957,-4.983527196010042,2.270620820976046
2021-11-02 12:00:00,-9.0,5.0,-9.626622712262673,-0.24573083845194832,-2.643411242835434,2.3976804043834856,-9.626622712262673,-0.24573083845194832,-2.643411242835434,2.3976804043834856
2021-11-02 13:00:00,-4.0,3.0,-9.864576673698405,-0.2379539614357311,-2.647314064659041,2.40936010322331,-9.864576673698405,-0.2379539614357311,-2.647314064659041,2.40936010322331
2021-11-02 14:00:00,-1.0,0.0,-10.088748904822385,-0.22417223112397933,-2.6448694400002988,2.4206972088763195,-10.088748904822385,-0.22417223112397933,-2.6448694400002988,2.4206972088763195
2021-11-02 15:00:00,-1.0,-2.0,-10.31358166559089,-0.22483276076850567,-2.6562348002558576,2.431402039487352,-10.31358166559089,-0.22483276076850567,-2.6562348002558576,2.431402039487352
2021-11-02 16:00:00,-3.0,-4.0,-12.652724838112471,-2.3391431725215814,-4.781305306495076,2.4421621339734947,-12.652724838112471,-2.3391431725215814,-4.781305306495076,2.4421621339734947
2021-11-02 17:00:00,-7.0,-2.0,-12.702232521990465,-0.04950768387799398,-2.6050263468779793,2.5555186629999853,-12.702232521990465,-0.04950768387799398,-2.6050263468779793,2.5555186629999853
2021-11-02 18:00:00,-9.0,-1.0,-12.68781163042269,0.014420891567774596,-2.5435247370422363,2.557945628610011,-12.68781163042269,0.014420891567774596,-2.5435247370422363,2.557945628610011
2021-11-02 19:00:00,-10.0,1.0,-13.135239115336926,-0.44742748491423523,-3.0046660537004537,2.5572385687862185,-13.135239115336926,-0.44742748491423523,-3.0046660537004537,2.5572385687862185
2021-11-02 20:00:00,-9.0,8.0,-13.08200102554426,0.05323808979266609,-2.5259834829119585,2.5792215727046246,-13.08200102554426,0.05323808979266609,-2.5259834829119585,2.5792215727046246
2021-11-02 21:00:00,-1.0,2.0,-13.042405815562294,0.039595209981967194,-2.5370057379522555,2.5766009479342227,-13.042405815562294,0.039595209981967194,-2.5370057379522555,2.5766009479342227
2021-11-02 22:00:00,1.0,-1.0,-13.004887465483698,0.03751835007859494,-2.537134402407979,2.574652752486574,-13.004887465483698,0.03751835007859494,-2.537134402407979,2.574652752486574
2021-11-02 23:00:00,0.0,1.0,-13.64409168105724,-0.6392042155735425,-3.212011639795231,2.5728074242216885,-13.64409168105724,-0.6392042155735425,-3.212011639795231,2.5728074242216885
2021-11-03 00:00:00,1.0,-3.0,-15.036944596628842,-1.3928529155716016,-3.9971897729505246,2.604336857378923,-15.036944596628842,-1.3928529155716016,-3.9971897729505246,2.604336857378923
2021-11-03 01:00:00,-2.0,0.0,-15.425194861143826,-0.388250264514983,-3.0619561713826076,2.6737059068676245,-15.425194861143826,-0.388250264514983,-3.0619561713826076,2.6737059068676245
2021-11-03 02:00:00,-2.0,1.0,-15.170010093768646,0.25518476737518103,-2.4380198833491216,2.6932046507243026,-15.170010093768646,0.25518476737518103,-2.4380198833491216,2.6932046507243026
2021-11-03 03:00:00,-1.0,1.0,-14.871980399442693,0.29802969432595283,-2.382351062172835,2.680380756498788,-14.871980399442693,0.29802969432595283,-2.382351062172835,2.680380756498788
2021-11-03 04:00:00,0.0,0.0,-14.587946327456944,0.2840340719857499,-2.381408431073058,2.665442503058808,-14.587946327456944,0.2840340719857499,-2.381408431073058,2.665442503058808
2021-11-03 05:00:00,0.0,-3.0,-14.273869138960299,0.3140771884966451,-2.337167417736787,2.651244606233432,-14.273869138960299,0.3140771884966451,-2.337167417736787,2.651244606233432
2021-11-03 06:00:00,-3.0,0.0,-14.203148731967623,0.07072040699267657,-2.564868691568201,2.6355890985608776,-14.203148731967623,0.07072040699267657,-2.564868691568201,2.6355890985608776
2021-11-03 07:00:00,-3.0,2.0,-14.458790749749049,-0.2556420177814256,-2.887712377910333,2.6320703601289073,-14.458790749749049,-0.2556420177814256,-2.887712377910333,2.6320703601289073
2021-11-03 08:00:00,-1.0,2.0,-14.262526511130615,0.19626423861843412,-2.4485368597951567,2.644801098413591,-14.262526511130615,0.19626423861843412,-2.4485368597951567,2.644801098413591
2021-11-03 09:00:00,1.0,0.0,-13.85069506087208,0.4118314502585334,-2.2231931304430987,2.635024580701632,-13.85069506087208,0.4118314502585334,-2.2231931304430987,2.635024580701632
2021-11-03 10:00:00,1.0,-2.0,-13.452114128686544,0.3985809321855367,-2.215987920922594,2.6145688531081306,-13.452114128686544,0.3985809321855367,-2.215987920922594,2.6145688531081306
2021-11-03 11:00:00,-1.0,-1.0,-13.465162750594795,-0.013048621908251068,-2.6078958056513235,2.5948471837430724,-13.465162750594795,-0.013048621908251068,-2.6078958056513235,2.5948471837430724
2021-11-03 12:00:00,-2.0,2.0,-14.139741682294623,-0.6745789316998296,-3.2700705753629857,2.595491643663156,-14.139741682294623,-0.6745789316998296,-3.2700705753629857,2.595491643663156
2021-11-03 13:00:00,0.0,-1.0,-15.344570459779812,-1.2048287774851882,-3.833746278330266,2.628917500845078,-15.344570459779812,-1.2048287774851882,-3.833746278330266,2.628917500845078
2021-11-03 14:00:00,-1.0,0.0,-15.709775039432554,-0.3652045796527412,-3.0543542754889583,2.689149695836217,-15.709775039432554,-0.3652045796527412,-3.0543542754889583,2.689149695836217
2021-11-03 15:00:00,-1.0,1.0,-15.804228243255324,-0.0944532038227699,-2.801995062123711,2.707541858300941,-15.804228243255324,-0.0944532038227699,-2.801995062123711,2.707541858300941
2021-11-03 16:00:00,0.0,1.0,-16.034716039049854,-0.2304877957945326,-2.942796638433398,2.7123088426388655,-16.034716039049854,-0.2304877957945326,-2.942796638433398,2.7123088426388655
2021-11-03 17:00:00,1.0,-2.0,-15.967187199424668,0.06752883962518741,-2.6564301530874266,2.723958992712614,-15.967187199424668,0.06752883962518741,-2.6564301530874266,2.723958992712614
2021-11-03 18:00:00,-1.0,3.0,-15.416698790313344,0.5504884091113249,-2.1700547102293712,2.720543119340696,-15.416698790313344,0.5504884091113249,-2.1700547102293712,2.720543119340696
2021-11-03 19:00:00,2.0,24.0,-14.872518548062908,0.5441802422504352,-2.148596959795428,2.692777202045863,-14.872518548062908,0.5441802422504352,-2.148596959795428,2.692777202045863
2021-11-03 20:00:00,26.0,-20.0,-14.7911599631516,0.08135858491130943,-2.584110854351792,2.6654694392631013,-14.7911599631516,0.08135858491130943,-2.584110854351792,2.6654694392631013
2021-11-03 21:00:00,6.0,-24.0,-25.90581077786137,-11.11465081470977,-13.776049519831327,2.6613987051215577,-25.90581077786137,-11.11465081470977,-13.776049519831327,2.6613987051215577
2021-11-03 22:00:00,-18.0,7.0,-25.540491680302818,0.3653190975585501,-2.881011604404483,3.246330701963033,-25.540491680302818,0.3653190975585501,-2.881011604404483,3.246330701963033
2021-11-03 23:00:00,-11.0,10.0,-25.329861169172297,0.21063051113051978,-3.015551736939159,3.2261822480696787,-25.329861169172297,0.21063051113051978,-3.015551736939159,3.2261822480696787
2021-11-04 00:00:00,-1.0,-15.0,-25.163499833557275,0.16636133561502087,-3.04823250869288,3.2145938443079007,-25.163499833557275,0.16636133561502087,-3.04823250869288,3.2145938443079007
2021-11-04 01:00:00,-16.0,-3.0,-34.11822264618515,-8.954722812627878,-12.16017857827474,3.2054557656468616,-34.11822264618515,-8.954722812627878,-12.16017857827474,3.2054557656468616
2021-11-04 02:00:00,-19.0,-3.0,-33.49086104536234,0.627361600822816,-3.0884615951823684,3.7158231960051844,-33.49086104536234,0.627361600822816,-3.0884615951823684,3.7158231960051844
2021-11-04 03:00:00,-22.0,-6.0,-32.85334896480993,0.6375120805524017,-3.0413275162357287,3.6788395967881304,-32.85334896480993,0.6375120805524017,-3.0413275162357287,3.6788395967881304
2021-11-04 04:00:00,-28.0,-9.0,-32.12786731252911,0.7254816522808167,-2.9159654482093154,3.641447100490132,-32.12786731252911,0.7254816522808167,-2.9159654482093154,3.641447100490132
2021-11-04 05:00:00,-37.0,-30.0,-36.86849735316264,-4.740630040633523,-8.33975725423528,3.5991272136017582,-36.86849735316264,-4.740630040633523,-8.33975725423528,3.5991272136017582
