Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation,Pred_dDST_dt_Equation,Injection_Component,Decay_Component,Pred_DST_Burton,Pred_dDST_dt_Burton,Pred_DST_OBM,Pred_dDST_dt_OBM,Pred_DST_DDM1,Pred_dDST_dt_DDM1,Pred_DST_DDM2,Pred_dDST_dt_DDM2,Pred_DST_DDM3,Pred_dDST_dt_DDM3
2024-03-22 00:00:00,-49.0,-2.0,-52.510311791018566,0.48968820898143495,-4.124370624453519,4.614058833434954,-52.81012925351802,0.1898707464819811,-47.633494130808835,5.366505869191166,-50.671083893537805,2.328916106462193,-50.53751485,2.46248515,-50.8067938859079,2.1932061140921015
2024-03-22 01:00:00,-51.0,7.0,-49.2418958529031,3.26841593811547,-1.3123968703833453,4.580812808498815,-48.51559406039275,4.294535193125269,-44.01553945830826,3.6179546725005745,-48.48192286483113,2.189161028706677,-48.187451627665325,2.350063222334672,-48.33611946506447,2.4706744208434332
2024-03-22 02:00:00,-44.0,10.0,-46.193470078865595,3.048425774037507,-1.313565718138766,4.361991492176273,-44.77317692322372,3.74241713716903,-40.86128367519333,3.154255783114931,-46.29472021529656,2.187202649534571,-45.944677839173636,2.2427737884916885,-46.041890500984984,2.2942289640794855
2024-03-22 03:00:00,-34.0,1.0,-43.351433284696554,2.84203679416904,-1.320688384148361,4.162725178317401,-41.510499004081744,3.262677919141978,-38.10990325871178,2.751380416481545,-44.17394124899084,2.120778966305713,-43.80429530880568,2.140382530367957,-43.97420562309746,2.0676848778875248
2024-03-22 04:00:00,-33.0,4.0,-40.672748973241994,2.6786843114545604,-1.302461664462269,3.9811459759168293,-38.67347957995769,2.837019424124053,-35.71735383091362,2.3925494277981594,-42.15267345349742,2.021267795493423,-41.76162948142176,2.0426658273839178,-41.96682669396226,2.007378929135199
2024-03-22 05:00:00,-29.0,8.0,-38.15419522672408,2.518553746517915,-1.2951563659908893,3.813710112508804,-36.21314433222512,2.460335247732571,-33.6433888954922,2.0739649354214205,-40.25801564529539,1.8946578082020356,-39.81221921332135,1.9494102681004066,-39.92846379638773,2.038362897574529
2024-03-22 06:00:00,-21.0,-5.0,-38.961475680303145,-0.8072804535790654,-4.466844820093236,3.6595643665141706,-38.748484760131156,-2.5353404279060325,-34.34305486459399,-0.6996659691017846,-39.296516622503276,0.961499022792111,-38.9213188596987,0.8909003536226462,-39.17693699814438,0.7515267982433513
2024-03-22 07:00:00,-26.0,1.0,-40.506245727386826,-1.5447700470836838,-5.253396999076446,3.708626951992762,-42.91926879178328,-4.170784031652124,-36.81243279090598,-2.469377926311992,-39.15081893054676,0.14569769195651627,-38.8262651709077,0.09505368879099763,-39.19161261122939,-0.014675613085014111
2024-03-22 08:00:00,-25.0,4.0,-38.02873612431751,2.477509603069313,-1.3259116725553974,3.8034212756247108,-39.89523944156193,3.024029350221356,-34.584520033556025,2.2279127573499564,-37.3795664856554,1.7712524448913591,-37.01086558473486,1.8153995861728445,-37.492805939131564,1.6988066720978252
2024-03-22 09:00:00,-21.0,5.0,-35.6927436882914,2.335992436026113,-1.3159764666343212,3.6519689026604345,-37.283649146227525,2.611590295334405,-32.665242538757184,1.9192774947988387,-35.76238016770185,1.617186317953554,-35.27834597895921,1.7325196057756473,-35.59862288837468,1.8941830507568844
2024-03-22 10:00:00,-16.0,5.0,-33.480735577644296,2.212008110647107,-1.2999778629819998,3.511985973629107,-35.00933065883067,2.2743184873968545,-30.992989163706525,1.6722533750506592,-34.176158356664935,1.5862218110369164,-33.6249225633877,1.6534234155715066,-33.80263718836417,1.7959857000105053
2024-03-22 11:00:00,-11.0,-10.0,-31.40175430072167,2.0789812769226277,-1.3029730353552658,3.3819543122778937,-33.02791765326241,1.9814130055682582,-29.535158383284827,1.4578307804216974,-32.626927545925646,1.5492308107392878,-32.04698429241718,1.5779382709705172,-32.10821650537124,1.6944206829929367
2024-03-22 12:00:00,-21.0,-3.0,-29.42660405643412,1.9751502442875506,-1.2868283257335167,3.2619785700210673,-31.304905521030605,1.723012132231807,-28.2674726418915,1.2676857413933273,-31.144653763693555,1.4822737822320933,-30.54108497857881,1.5058993138383698,-30.483684049699992,1.6245324556712468
2024-03-22 13:00:00,-24.0,2.0,-27.536510477579455,1.8900935788546638,-1.2599083008664829,3.1500018797211466,-29.808330892872597,1.4965746281580077,-27.166864895767702,1.1006077461238002,-29.738224946497635,1.4064288171959194,-29.103935766129517,1.43714921244929,-28.915660809161057,1.568023240538934
2024-03-22 14:00:00,-22.0,7.0,-25.729787911983077,1.8067225655963768,-1.2379558789599872,3.044678444556364,-28.498205378424533,1.3101255144480655,-26.201095730108932,0.9657691656587704,-28.359890549581184,1.3783343969164519,-27.732397948253006,1.3715378178765119,-27.494229714563126,1.421431094597933
2024-03-22 15:00:00,-15.0,-1.0,-24.017941412935023,1.7118464990480526,-1.2338283853236578,2.9456748843717104,-27.354415760883565,1.1437896175409676,-25.35677468789121,0.8443210422177211,-27.058348397026883,1.3015421525543012,-26.423476112183156,1.3089218360698502,-26.199610336391864,1.2946193781712625
2024-03-22 16:00:00,-16.0,-1.0,-22.391449764652492,1.626491648282532,-1.226888351775847,2.853380000058379,-26.36926241340075,0.9851533474828155,-24.632039415170123,0.7247352727210881,-25.796162835092197,1.262185561934686,-25.17431159727896,1.2491645149041928,-24.839708204740067,1.359902131651796
2024-03-22 17:00:00,-17.0,-4.0,-20.85410263139165,1.5373471332608417,-1.2297008916873284,2.76704802494817,-25.515244081788733,0.8540183316120182,-24.004487625118138,0.6275517900519846,-24.596133370004143,1.2000294650880547,-23.982176251763526,1.192135345515434,-23.521411149693492,1.3182970550465734
2024-03-22 18:00:00,-21.0,-1.0,-19.423947112316036,1.430155519075614,-1.2565113370772913,2.6866668561529052,-24.77939648198761,0.7358475998011218,-23.465577275034278,0.5389103500838605,-23.50354512971676,1.0925882402873823,-22.844466474491952,1.137709777271574,-22.237110966662566,1.2843001830309264
2024-03-22 19:00:00,-22.0,0.0,-18.084927565669656,1.3390195466463803,-1.2739344739315317,2.612954020577912,-24.14118559104656,0.6382108909410508,-22.99862982844375,0.4669474465905268,-22.471155146667112,1.0323899830496464,-21.758697528735468,1.085768945756484,-21.00734278227646,1.2297681843861072
2024-03-22 20:00:00,-22.0,2.0,-16.815455198082155,1.2694723675875017,-1.2753955336258076,2.5448679012133093,-23.58558173254643,0.5556038585001298,-22.591964884026403,0.406664944417347,-21.464854346838308,1.0063007998288045,-20.72249811556321,1.0361994131722596,-19.83369305985558,1.1736497224208808
