Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation_1,Pred_dDST_dt_Equation_1,Pred_DST_Equation_2,Pred_dDST_dt_Equation_2,Pred_DST_Equation_3,Pred_dDST_dt_Equation_3
2002-05-09 00:00:00,-16.0,-4.0,-17.200578778451185,-0.20057877845118355,-17.485021820674106,-0.4850218206741078,-17.352131845237462,-0.3521318452374618
2002-05-09 01:00:00,-20.0,7.0,-15.912583050711396,1.2879957277397893,-16.56231931453479,0.9227025061393169,-16.25329729173688,1.0988345535005792
2002-05-09 02:00:00,-13.0,1.0,-17.72574603363937,-1.8131629829279758,-18.58054165176485,-2.0182223372300605,-18.19583905736702,-1.9425417656301396
2002-05-09 03:00:00,-12.0,-3.0,-18.545457135699024,-0.8197111020596516,-19.648618250386885,-1.068076598622035,-19.17655187143095,-0.9807128140639277
2002-05-09 04:00:00,-15.0,3.0,-17.344137594388435,1.2013195413105877,-18.729263019939264,0.9193552304476212,-18.153211339411047,1.0233405320199007
2002-05-09 05:00:00,-12.0,3.0,-17.31062007091736,0.03351752347107623,-18.938519276540827,-0.20925625660156288,-18.313741146910324,-0.16052980749927626
2002-05-09 06:00:00,-9.0,0.0,-18.120432301251967,-0.8098122303346083,-19.981705195748564,-1.0431859192077382,-19.3758748681737,-1.062133721263377
2002-05-09 07:00:00,-9.0,3.0,-17.943252669268063,0.17717963198390246,-19.98024918814956,0.0014560075990028842,-19.32257740204571,0.053297466127990495
2002-05-09 08:00:00,-6.0,-1.0,-18.40099247700548,-0.4577398077374178,-20.618153517910404,-0.637904329760844,-19.947473208625162,-0.6248958065794532
2002-05-09 09:00:00,-7.0,1.0,-19.29261165714225,-0.8916191801367698,-21.671405173581455,-1.0532516556710494,-20.997565980628398,-1.0500927720032358
2002-05-09 10:00:00,-6.0,-1.0,-18.061841153671182,1.230770503471069,-20.714835523332074,0.956569650249381,-19.829813937337857,1.1677520432905415
2002-05-09 11:00:00,-7.0,0.0,-16.649675398716738,1.4121657549544453,-19.621692440774265,1.0931430825578095,-18.48898332954963,1.3408306077882282
