Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation_1,Pred_dDST_dt_Equation_1,Pred_DST_Equation_2,Pred_dDST_dt_Equation_2,Pred_DST_Equation_3,Pred_dDST_dt_Equation_3,Pred_DST_Equation_4,Pred_dDST_dt_Equation_4
2016-10-11 00:00:00,-11.0,-2.0,-13.424578935743957,0.5754210642560424,-13.260674847660765,0.7393251523392361,-13.294507811561441,0.7054921884385592,-13.317286860316393,0.6827131396836059
2016-10-11 01:00:00,-13.0,2.0,-12.866814159028708,0.557764776715249,-12.543949333463537,0.7167255141972282,-12.610678320380142,0.6838294911812989,-12.655840401014231,0.6614464593021614
2016-10-11 02:00:00,-11.0,1.0,-12.325912491905244,0.5409016671234637,-11.848797759597003,0.695151573866534,-11.947523963696952,0.66315435668319,-12.014677226537557,0.6411631744766746
2016-10-11 03:00:00,-10.0,4.0,-11.801127250881361,0.5247852410238838,-11.174255795146657,0.6745419644503475,-11.304116524765394,0.6434074389315568,-11.392873873518358,0.6218033530191999
2016-10-11 04:00:00,-6.0,1.0,-11.291754907344664,0.5093723435366965,-10.519415941400197,0.6548398537464584,-10.679582728373356,0.6245337963920389,-10.78956230059722,0.6033115729211378
2016-10-11 05:00:00,-5.0,-2.0,-10.797132030491804,0.49462287685286055,-9.883423394326684,0.6359925470735126,-10.07310022379416,0.6064825045791964,-10.203925780448678,0.5856365201485426
2016-10-11 06:00:00,-7.0,0.0,-10.316632485375415,0.48049954511638876,-9.265472264150855,0.6179511301758296,-9.483893915905607,0.5892063078885522,-9.635195152696962,0.5687306277517155
2016-10-11 07:00:00,-7.0,3.0,-9.849664861663413,0.46696762371200196,-8.664802116508064,0.6006701476427911,-8.91123260970523,0.5726613062003768,-9.082645401195888,0.5525497515010738
2016-10-11 08:00:00,-4.0,1.0,-9.511354631644497,0.3383102300189165,-8.209618318740329,0.4551837977677353,-8.464118891709656,0.44711371799557453,-8.656582636982856,0.4260627642130328
2016-10-11 09:00:00,-3.0,-1.0,-9.066648762311866,0.4447058693326313,-7.637907990106008,0.5717103286343206,-7.919536233800023,0.5445826579096339,-8.131328658275988,0.525253978706867
2016-10-11 10:00:00,-4.0,-1.0,-8.634012560934922,0.4326362013769435,-7.081579871387283,0.5563281187187252,-7.3896591110331205,0.5298771227669027,-7.620440098023847,0.5108885602521412
2016-10-11 11:00:00,-5.0,-2.0,-8.212965086849564,0.4210474740853577,-6.5400187194999155,0.5415611518873669,-6.873897228624555,0.5157618824085656,-7.12333298977094,0.4971071082529065
2016-10-11 12:00:00,-7.0,1.0,-7.8030504669194585,0.4099146199301064,-6.012641774633158,0.5273769448667575,-6.371691568883666,0.5022056597408895,-6.639454697842021,0.4838782919289187
2016-10-11 13:00:00,-6.0,2.0,-7.403836290970168,0.39921417594929015,-5.498896639028738,0.51374513560442,-5.8825123415597576,0.4891792273239083,-6.168281838636199,0.4711728592058226
2016-10-11 14:00:00,-4.0,0.0,-7.014912128435122,0.38892416253504597,-4.998259320180251,0.5006373188484867,-5.405857093615213,0.47665524794454495,-5.7093183655961175,0.45896347304008167
2016-10-11 15:00:00,-4.0,0.0,-6.635888155699213,0.37902397273590865,-4.510232423748381,0.4880268964318708,-4.94124896411834,0.4646081294968732,-5.262093802985235,0.4472245626108825
2016-10-11 16:00:00,-4.0,1.0,-6.266393884652361,0.36949427104685173,-4.034343482973556,0.4758889407748242,-4.488235071399777,0.45301389271856274,-4.826161615132073,0.4359321878531618
2016-10-11 17:00:00,-3.0,0.0,-5.9060769838807685,0.3603169007715926,-3.5701434126867806,0.4642000702867753,-4.0463850209035375,0.4418500504962395,-4.401097699151995,0.4250639159800782
2016-10-11 18:00:00,-3.0,-1.0,-5.554602184741099,0.3514747991396694,-3.1172050771919735,0.4529383354948072,-3.6152895233076534,0.4310954975958841,-3.986498990356401,0.4145987087955939
2016-10-11 19:00:00,-4.0,-1.0,-5.2116502652938514,0.3429519194472476,-2.675121962337258,0.44208311485471535,-3.1945591135074136,0.42073040980023974,-3.5819821706251016,0.40451681973129927
2016-10-11 20:00:00,-5.0,-2.0,-4.876917105726807,0.33473315956704525,-2.243506943023576,0.43161501931368196,-2.7838229619615844,0.4107361515458294,-3.187182470966331,0.3947996996587709
2016-10-11 21:00:00,-7.0,1.0,-4.550112809486361,0.3268042962404452,-1.8219911382303486,0.42151580479322737,-2.3827277707119823,0.40109519124960213,-2.801752560334575,0.3854299106317555
2016-10-11 22:00:00,-6.0,2.0,-4.230960884861494,0.31915192462486663,-1.410222846381338,0.4117682918490106,-1.99093674711084,0.3917910236011424,-2.4253615135313944,0.3763910468031809
2016-10-11 23:00:00,-4.0,0.0,-3.919197482238743,0.3117634026227507,-1.007866554539604,0.40235629184173394,-1.6081286489385558,0.38280809817228406,-2.0576938516893795,0.3676676618420148
2016-10-12 00:00:00,-4.0,-1.0,-3.61457068267285,0.3046267995658934,-0.6146020155174304,0.3932645390221735,-1.2339968951754359,0.3741317537631199,-1.6984486494436994,0.35924520224567996
2016-10-12 01:00:00,-5.0,-4.0,-3.3168398338018164,0.2977308488710335,-0.23012338752312517,0.38447862799430527,-0.8682487372125365,0.36574815796289945,-1.347338703437407,0.3511099460062925
2016-10-12 02:00:00,-9.0,2.0,-3.025774929481606,0.2910649043202101,0.14586156855148036,0.3759849560746055,-0.5106044857554277,0.35764425145710876,-1.00408975729299,0.34324894614441687
2016-10-12 03:00:00,-7.0,1.0,-2.7411560298286424,0.2846188996529639,0.513632238665185,0.3677706701137047,-0.16079678909647904,0.3498076966589487,-0.6684397786197611,0.33564997867322893
2016-10-12 04:00:00,-6.0,2.0,-2.577746397696589,0.16340963213205367,0.7319160767395874,0.21828383807440227,0.07186228337685302,0.23265907247333206,-0.4507965307201541,0.21764324789960704
2016-10-12 05:00:00,-4.0,1.0,-2.302912895652534,0.27483350204405504,1.087063910034904,0.3551478332953167,0.4090930226424582,0.3372307392656052,-0.12721649598665102,0.32358003473350305
2016-10-12 06:00:00,-3.0,0.0,-2.2978555970485175,0.005057298604016678,1.1038515614399695,0.016787651405065607,0.4870625217737239,0.07796949913126566,-0.06508200778721879,0.062134488199432236
2016-10-12 07:00:00,-3.0,1.0,-2.029050941303769,0.26880465574474854,1.4511027329781352,0.34725117153816576,0.8154685838323956,0.3284060620586717,0.25021450643380155,0.31529651422102034
2016-10-12 08:00:00,-2.0,2.0,-2.0435646408400205,-0.01451369953625171,1.4391433053397102,-0.011959427638425002,0.8713619292389241,0.055893345406528405,0.29073789521597676,0.04052338878217521
2016-10-12 09:00:00,0.0,2.0,-1.780181170636468,0.2633834702035524,1.7793518992220332,0.3402085938823229,1.1917043422761135,0.3203424130371895,0.5984881417268557,0.307750246510879
2016-10-12 10:00:00,2.0,-3.0,-1.5223562221783513,0.2578249484581167,2.1124883836144956,0.3331364843924624,1.5054016962971617,0.3136973540210481,0.8997853018638438,0.30129716013698804
2016-10-12 11:00:00,-1.0,-3.0,-1.2699167439162367,0.2524394782621146,2.438771750433543,0.3262833668190471,1.8126593272774807,0.307257630980319,1.1948309269440085,0.29504562508016474
