Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation_1,Pred_dDST_dt_Equation_1,Pred_DST_Equation_2,Pred_dDST_dt_Equation_2,Pred_DST_Equation_3,Pred_dDST_dt_Equation_3,Pred_DST_Equation_4,Pred_dDST_dt_Equation_4
1999-02-16 00:00:00,-7.0,0.0,-8.569158934575139,0.4308410654248618,-8.40667851952115,0.5933214804788497,-8.44075030007396,0.5592496999260401,-8.465246055127038,0.5347539448729619
1999-02-16 01:00:00,-7.0,2.0,-8.149835599220191,0.4193233353549484,-7.829617555347229,0.5770609641739216,-7.8968028046897984,0.5439474953841613,-7.945248093210608,0.5199979619164297
1999-02-16 02:00:00,-5.0,0.0,-7.741577794178946,0.4082578050412448,-7.2681547521071845,0.561462803240045,-7.367535183317085,0.5292676213727135,-7.439400958194862,0.5058471350157461
1999-02-16 03:00:00,-5.0,-2.0,-7.343956549221125,0.3976212449578213,-6.721663362826021,0.5464913892811634,-6.8523585095337385,0.5151766737833469,-6.947132246264623,0.4922687119302393
1999-02-16 04:00:00,-7.0,0.0,-6.956564657797231,0.38739189142389346,-6.189549881681971,0.5321134811440502,-6.35071504377391,0.501643465759829,-6.467900113988848,0.47923213227577505
1999-02-16 05:00:00,-7.0,0.0,-6.579015320382921,0.3775493374143097,-5.671251863526816,0.5182980181551553,-5.862076190736799,0.48863885303711097,-6.0011912605281275,0.4667088534607203
1999-02-16 06:00:00,-7.0,0.0,-6.210940887671428,0.3680744327114935,-5.166235913172046,0.5050159503547699,-5.385940615584651,0.4761355751521472,-5.54651906796159,0.4546721925665376
1999-02-16 07:00:00,-7.0,0.0,-5.85199169517228,0.35894919249914775,-4.6739958291914085,0.4922400839806377,-4.921832504687863,0.4641081108967885,-5.103421885438746,0.44309718252284414
1999-02-16 08:00:00,-7.0,0.0,-5.501834981578192,0.35015671359408773,-4.194050888538365,0.4799449406530435,-4.469299958118682,0.45253254656918157,-4.671461444322052,0.4319604411166945
1999-02-16 09:00:00,-7.0,-3.0,-6.349087352972655,-0.847252371394463,-5.232431863749618,-1.0383809752112527,-5.173709713062511,-0.7044097549438288,-5.406200809977795,-0.734739365655743
1999-02-16 10:00:00,-10.0,0.0,-6.616286629331104,-0.26719927635844953,-5.5618252474685965,-0.3293933837189791,-5.326492116902627,-0.15278240384011638,-5.583092233080367,-0.1768914231025721
