Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation,Pred_dDST_dt_Equation,Injection_Component,Decay_Component,Pred_DST_Burton,Pred_dDST_dt_Burton,Pred_DST_OBM,Pred_dDST_dt_OBM
2024-04-17 00:00:00,-49.0,10.0,-55.24131862350327,3.7586813764967304,-1.5730945238251137,5.331775900321844,-53.89834969054498,5.101650309455016,-53.90344624430068,5.096553755699316
2024-04-17 01:00:00,-39.0,3.0,-51.72490161834923,3.5164170051540373,-1.5525939872131995,5.069010992367237,-49.464676424480785,4.4336732660642,-49.47354033216038,4.4299059121403
2024-04-17 02:00:00,-36.0,7.0,-48.451904308077765,3.272997310271461,-1.5561965919734524,4.8291939022449135,-45.602265253092796,3.8624111713879907,-45.61383655654966,3.859703775610727
2024-04-17 03:00:00,-29.0,4.0,-45.37755875020169,3.0743455578760734,-1.5368540354630476,4.611199593339121,-42.23885556216248,3.3634096909303195,-42.252284148577914,3.3615524079717396
2024-04-17 04:00:00,-25.0,3.0,-42.47581399798314,2.9017447522185535,-1.5092769537863515,4.411021706004905,-39.322314367449145,2.916541194713329,-39.336912609169985,2.9153715394079276
2024-04-17 05:00:00,-22.0,3.0,-39.72685348544721,2.748960512535933,-1.4771966161593388,4.226157128695272,-36.78631559919665,2.535998768252499,-36.801551430672276,2.5353611784977104
2024-04-17 06:00:00,-19.0,5.0,-37.180381966906126,2.5464715185410807,-1.5082047499886573,4.054676268529738,-34.57620292057197,2.210112678624675,-34.59166797740903,2.2098834532632434
2024-04-17 07:00:00,-14.0,-1.0,-34.759355175909015,2.421026790997109,-1.477968602893679,3.8989953938907878,-32.656809724955004,1.9193931956169707,-32.67218380857208,1.919484168836951
2024-04-17 08:00:00,-15.0,0.0,-32.503242617844776,2.256112558064239,-1.4976971527712533,3.753809710835492,-30.988184042505377,1.6686256824496275,-31.003228450610194,1.6689553579618852
2024-04-17 09:00:00,-15.0,-9.0,-31.58476699075244,0.9184756270923375,-2.7025176616023256,3.620993288694663,-29.91448325126765,1.0737007912377257,-28.179910856255574,2.8233175943546196
2024-04-17 10:00:00,-24.0,-3.0,-31.33467634537884,0.2500906453736018,-3.31751751915909,3.567608164532692,-31.01539758835427,-1.1009143370866175,-28.21354954517467,-0.03363868891909361
2024-04-17 11:00:00,-27.0,1.0,-31.152239077790213,0.1824372675886261,-3.370703397694663,3.5531406652832893,-32.25244018693004,-1.2370425985757707,-28.522286582073832,-0.30873703689916265
2024-04-17 12:00:00,-26.0,-2.0,-31.349733021783692,-0.19749394399347908,-3.740099334107503,3.5426053901140238,-34.36286306418882,-2.1104228772587854,-29.77541849378832,-1.2531319117144872
2024-04-17 13:00:00,-28.0,-3.0,-32.183040786686526,-0.8333077649028358,-4.387318612625186,3.55401084772235,-37.97619829818645,-3.6133352339976312,-32.44645828301842,-2.6710397892301017
2024-04-17 14:00:00,-31.0,-5.0,-33.20342966167487,-1.020388874988345,-4.622725860229083,3.6023369852407376,-41.720241143006454,-3.7440428448199987,-34.95412149300049,-2.507663209982073
2024-04-17 15:00:00,-36.0,-4.0,-34.13838424530707,-0.9349545836322055,-4.596911596941422,3.6619570133092165,-44.77902404209436,-3.0587828990879076,-36.547199788338254,-1.5930782953377634
2024-04-17 16:00:00,-40.0,-1.0,-34.18261225850573,-0.04422801319865366,-3.76124282354003,3.7170148103413765,-45.01755214965407,-0.23852810755971143,-35.26208944044376,1.2851103478944923
2024-04-17 17:00:00,-41.0,5.0,-33.80026276449806,0.38234949400767215,-3.337280001122842,3.719629495130514,-44.12054042111278,0.8970117285412922,-33.24105109614936,2.0210383442943987
2024-04-17 18:00:00,-36.0,5.0,-32.31452300801561,1.4857397564824488,-2.211316266734998,3.697056023217447,-40.97001802785841,3.1505223932543687,-31.50659676946692,1.7344543266824417
2024-04-17 19:00:00,-31.0,6.0,-30.274580612108814,2.0399423959068006,-1.570049465039662,3.6099918609464625,-38.21463089500401,2.7553871328544006,-29.982978018953926,1.5236187505129934
2024-04-17 20:00:00,-25.0,6.0,-28.369386471547138,1.905194140561676,-1.5869473968913237,3.4921415374529996,-35.81532957701622,2.3993013179877853,-28.655119433438166,1.3278585855157583
2024-04-17 21:00:00,-19.0,3.0,-26.557137908271095,1.8122485632760434,-1.5715934385083417,3.383842001784385,-33.72961909083159,2.0857104861846323,-27.501389995356764,1.153729438081403
2024-04-17 22:00:00,-16.0,3.0,-24.815271361648268,1.7418665466228276,-1.540542416527116,3.2824089631499436,-31.930262075929665,1.7993570149019265,-26.51269146140052,0.9886985339562421
2024-04-17 23:00:00,-13.0,2.0,-23.209587091958795,1.6056842696894715,-1.5806857267127892,3.1863699964022607,-30.360886523870374,1.5693755520592925,-25.648464316375044,0.8642271450254778
2024-04-18 00:00:00,-11.0,-2.0,-21.709354804794927,1.5002322871638671,-1.5988703031216838,3.099102590285551,-28.997171694227095,1.3637148296432788,-24.898114723299233,0.7503495930758102
2024-04-18 01:00:00,-13.0,1.0,-20.2782841984013,1.431070606393628,-1.5875907191699403,3.0186613255635684,-27.814806704116176,1.1823649901109186,-24.24927597815408,0.6488387451451513
2024-04-18 02:00:00,-12.0,2.0,-18.999172976841567,1.2791112215597318,-1.6638029651100483,2.94291418666978,-26.778307158767063,1.0364995453491135,-23.67686783532287,0.5724081428312099
2024-04-18 03:00:00,-10.0,5.0,-17.77271215837238,1.226460818469189,-1.6495640986766686,2.8760249171458576,-25.8737094614284,0.9045976973386637,-23.175958159707566,0.5009096756153032
2024-04-18 04:00:00,-5.0,1.0,-16.608764581539017,1.1639475768333605,-1.6486634474866055,2.812611024319966,-25.090543171958736,0.7831662894696674,-22.74393156605526,0.43202659365230645
2024-04-18 05:00:00,-4.0,0.0,-15.501857354865418,1.1069072266735993,-1.6461759346759546,2.753083161349554,-24.406813684389178,0.6837294875695561,-22.36563987894027,0.37829168711498923
2024-04-18 06:00:00,-4.0,2.0,-14.487039047972985,1.0148183068924332,-1.6822448704303898,2.697063177322823,-23.804376840702126,0.6024368436870504,-22.028892377463055,0.33674750147721527
2024-04-18 07:00:00,-2.0,1.0,-13.516297868187227,0.9707411797857586,-1.6754685424289621,2.6462097222147207,-23.279548748025515,0.5248280926766116,-21.735170986398586,0.29372139106446793
2024-04-18 08:00:00,-1.0,-2.0,-12.508744160317853,1.0075537078693726,-1.5904642253477608,2.5980179332171334,-22.822980541726675,0.4565682062988406,-21.47962743266498,0.25554355373360615
2024-04-18 09:00:00,-3.0,-2.0,-11.561892316447935,0.9468518438699185,-1.6016151448437812,2.5484669887136997,-22.428948276516646,0.3940322652100301,-21.26045024881682,0.21917718384816154
2024-04-18 10:00:00,-5.0,1.0,-10.617811366714388,0.9440809497335465,-1.558255223265025,2.5023361729985716,-22.088877435152476,0.3400708413641706,-21.07247212917327,0.1879781196435496
2024-04-18 11:00:00,-4.0,1.0,-9.683194919735065,0.9346164469793237,-1.5221433993586826,2.4567598463380063,-21.795827839767338,0.2930495953851391,-20.911715979714888,0.160756149458384
2024-04-18 12:00:00,-3.0,2.0,-8.753013319731691,0.9301816000033736,-1.481871424717286,2.4120530247206595,-21.542276270873217,0.2535515688941202,-20.773237431176124,0.138478548538763
2024-04-18 13:00:00,-1.0,1.0,-7.851479066325415,0.901534253406276,-1.4664316900304886,2.3679659434367646,-21.324135169915483,0.21814110095773342,-20.655189427382805,0.11804800379331806
2024-04-18 14:00:00,0.0,-3.0,-7.435029232690032,0.4164498336353828,-1.9091748447339272,2.32562467836931,-21.137630164481383,0.18650500543410073,-20.55574681109424,0.09944261628856402
2024-04-18 15:00:00,-3.0,0.0,-6.5838579135928885,0.8511713190971437,-1.4550234416230214,2.306194760720165,-20.971957798059677,0.16567236642170527,-20.465809218205752,0.08993759288848842
2024-04-18 16:00:00,-3.0,1.0,-5.758721384194915,0.8251365293979731,-1.4415994504675789,2.266735979865552,-20.831309874148,0.14064792391167458,-20.391035383509784,0.07477383469596842
2024-04-18 17:00:00,-2.0,2.0,-4.948609411088222,0.810111973106693,-1.41869717695714,2.228809150063833,-20.708224370367905,0.123085503780096,-20.32525134754862,0.06578403596116664
2024-04-18 18:00:00,0.0,0.0,-4.169975588817559,0.7786338222706632,-1.4132503816648532,2.1918842039355164,-20.59979047114608,0.10843389922182663,-20.266662530110736,0.058588817437881587
2024-04-18 19:00:00,0.0,1.0,-3.4318593814877634,0.738116207329796,-1.4185685125014167,2.1566847198312127,-20.506057811354243,0.09373265979183469,-20.2162868783053,0.050375651805434636
2024-04-18 20:00:00,1.0,1.0,-2.6680053726408093,0.7638540088469541,-1.3597259680839557,2.12357997693091,-20.4289013297366,0.07715648161764324,-20.176840064797528,0.03944681350777301
2024-04-18 21:00:00,2.0,6.0,-2.410013946607018,0.25799142603379166,-1.8315990524813206,2.0895904785151123,-20.3626044177947,0.06629691194190188,-20.143344612749754,0.03349545204777463
2024-04-18 22:00:00,8.0,1.0,-1.8901824609357751,0.5198314856712427,-1.5583409995688409,2.0781724852400836,-20.295298628175292,0.0673057896194059,-20.1045813610379,0.03876325171185114
2024-04-18 23:00:00,9.0,1.0,-1.3628974678692167,0.5272849930665584,-1.5279761880181393,2.0552611810846977,-20.233774569464817,0.06152405871047542,-20.06788724117515,0.036694119862751874
2024-04-19 00:00:00,10.0,-2.0,-0.876778459401069,0.4861190084681477,-1.5460320999713109,2.0321511084394586,-20.18005258210961,0.05372198735520744,-20.035762731007768,0.032124510167383324
