Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation,Pred_dDST_dt_Equation,Injection_Component,Decay_Component,Pred_DST_Equation_1,Pred_dDST_dt_Equation_1,Injection_Component_1,Decay_Component_1,Pred_DST_Equation_2,Pred_dDST_dt_Equation_2,Injection_Component_2,Decay_Component_2,Pred_DST_Equation_3,Pred_dDST_dt_Equation_3,Injection_Component_3,Decay_Component_3
2000-04-04 00:00:00,-14.0,-16.0,-9.334312366268962,-5.334312366268962,-5.77685455098355,0.4425421847145873,-9.392499898260908,-5.392499898260908,-5.834402538428365,0.4419026401674565,-9.319629403218627,-5.319629403218626,-5.760295529829161,0.4406661266105344,-9.334312366268962,-5.334312366268962,-5.77685455098355,0.4425421847145873
2000-04-04 01:00:00,-30.0,-13.0,-16.432216650593773,-7.097904284324809,-7.679116965312756,0.5812126809879471,-16.544157057114116,-7.151657158853209,-7.735215422523067,0.5835582636698581,-16.397713096238817,-7.078083693020188,-7.6560347239542565,0.5779510309340679,-16.432216650593773,-7.097904284324809,-7.679116965312756,0.5812126809879471
2000-04-04 02:00:00,-43.0,0.0,-19.4609229698659,-3.028706319272127,-3.8236954378962653,0.7949891186241382,-19.581273931582523,-3.037116874468405,-3.838872135110794,0.8017552606423891,-19.41981138901427,-3.022098292775452,-3.8115344592851654,0.7894361665097135,-19.4609229698659,-3.028706319272127,-3.8236954378962653,0.7949891186241382
2000-04-04 03:00:00,-43.0,3.0,-18.564544723948806,0.8963782459170938,-0.0,0.8963782459170938,-18.676394411702486,0.9048795198800372,-0.0,0.9048795198800372,-18.530053782189572,0.8897576068246982,-0.0,0.8897576068246982,-18.564544723948806,0.8963782459170938,-0.0,0.8963782459170938
2000-04-04 04:00:00,-40.0,6.0,-17.698807458983634,0.8657372649651737,-0.0,0.8657372649651737,-17.802892070788385,0.8735023409141013,-0.0,0.8735023409141013,-17.670455626582488,0.859598155607086,-0.0,0.859598155607086,-17.698807458983634,0.8657372649651737,-0.0,0.8657372649651737
2000-04-04 05:00:00,-34.0,-1.0,-16.862157933223084,0.8366495257605507,-0.0,0.8366495257605507,-16.959153701236065,0.8437383695523187,-0.0,0.8437383695523187,-16.839500772737978,0.8309548538445101,-0.0,0.8309548538445101,-16.862157933223084,0.8366495257605507,-0.0,0.8366495257605507
2000-04-04 06:00:00,-35.0,-1.0,-16.05314656047632,0.8090113727467643,-0.0,0.8090113727467643,-16.143675265838784,0.815478435397282,-0.0,0.815478435397282,-16.035773422659712,0.8037273500782663,-0.0,0.8037273500782663,-16.05314656047632,0.8090113727467643,-0.0,0.8090113727467643
2000-04-04 07:00:00,-36.0,5.0,-15.2704188782833,0.7827276821930209,-0.0,0.7827276821930209,-15.355052787471921,0.7886224783668635,-0.0,0.7886224783668635,-15.257949936696281,0.7778234859634318,-0.0,0.7778234859634318,-15.2704188782833,0.7827276821930209,-0.0,0.7827276821930209
2000-04-04 08:00:00,-31.0,4.0,-14.512707847273706,0.7577110310095939,-0.0,0.7577110310095939,-14.591974138451292,0.7630786490206294,-0.0,0.7630786490206294,-14.504791432251748,0.7531585044445328,-0.0,0.7531585044445328,-14.512707847273706,0.7577110310095939,-0.0,0.7577110310095939
2000-04-04 09:00:00,-27.0,4.0,-13.778826888548545,0.73388095872516,-0.0,0.73388095872516,-13.853211627367855,0.7387625110834356,-0.0,0.7387625110834356,-13.775137086267844,0.7296543459839049,-0.0,0.7296543459839049,-13.778826888548545,0.73388095872516,-0.0,0.73388095872516
2000-04-04 10:00:00,-23.0,-1.0,-13.067663577689599,0.7111633108589458,-0.0,0.7111633108589458,-13.137615294281446,0.7155963330864092,-0.0,0.7155963330864092,-13.067898064460676,0.7072390218071668,-0.0,0.7072390218071668,-13.067663577689599,0.7111633108589458,-0.0,0.7111633108589458
2000-04-04 11:00:00,-24.0,0.0,-12.378173924120317,0.6894896535692817,-0.0,0.6894896535692817,-12.444106836379307,0.6935084579021396,-0.0,0.6935084579021396,-12.382052009796055,0.6858460546646211,-0.0,0.6858460546646211,-12.378173924120317,0.6894896535692817,-0.0,0.6894896535692817
2000-04-04 12:00:00,-24.0,-5.0,-15.670239983473927,-3.2920660593536093,-3.96086281020937,0.6687967508557608,-15.82469377307035,-3.380586936691043,-4.053019677209879,0.6724327405188361,-15.66893343990439,-3.2868814301083336,-3.9522954090163567,0.6654139789080231,-15.670239983473927,-3.2920660593536093,-3.96086281020937,0.6687967508557608
