Timestamp,Observed_DST,Real_dDST_dt,Pred_DST_Equation_1,Pred_dDST_dt_Equation_1,Pred_DST_Equation_2,Pred_dDST_dt_Equation_2,Pred_DST_Equation_3,Pred_dDST_dt_Equation_3
2022-11-05 00:00:00,-22.0,0.0,-22.212769341937456,-0.21276934193745436,-22.126163243028323,-0.12616324302832282,-22.09484373265074,-0.09484373265074145
2022-11-05 01:00:00,-22.0,1.0,-21.731795260989156,0.48097408094830185,-21.37615120204897,0.7500120409793538,-21.274313881449622,0.8205298512011201
2022-11-05 02:00:00,-21.0,-5.0,-22.89487432531066,-1.1630790643215052,-22.739533915223536,-1.3633827131745675,-22.69813872838662,-1.4238248469369996
2022-11-05 03:00:00,-26.0,-2.0,-23.366218960587034,-0.4713446352763737,-23.204721374599213,-0.46518745937567685,-23.19590436540461,-0.4977656370179876
2022-11-05 04:00:00,-28.0,-4.0,-24.56970088110706,-1.2034819205200264,-24.654267354493847,-1.4495459798946322,-24.72566864431068,-1.5297642789060726
2022-11-05 05:00:00,-32.0,-2.0,-25.619419002923806,-1.0497181218167442,-25.959151716193237,-1.3048843616993886,-26.090588118531723,-1.3649194742210433
2022-11-05 06:00:00,-34.0,2.0,-24.94381927415103,0.6755997287727757,-24.853875771243832,1.1052759449494047,-24.96075091424651,1.129837204285213
2022-11-05 07:00:00,-32.0,-4.0,-24.802090926568393,0.14172834758263497,-24.548627566162928,0.30524820508090267,-24.64502067228012,0.3157302419663933
2022-11-05 08:00:00,-36.0,-3.0,-27.235595507778537,-2.433504581210144,-27.80518322550686,-3.2565556593439298,-28.075522296569538,-3.430501624289418
2022-11-05 09:00:00,-39.0,7.0,-28.946920393615855,-1.7113248858373173,-29.980099517727403,-2.1749162922205425,-30.373339637970666,-2.297817341401128
2022-11-05 10:00:00,-32.0,-1.0,-30.566461384592,-1.619540990976145,-32.036228599533246,-2.056129081805845,-32.54385629504713,-2.170516657076461
2022-11-05 11:00:00,-33.0,1.0,-31.973129519502727,-1.4066681349107288,-33.83596258023389,-1.7997339807006414,-34.47011617917189,-1.9262598841247616
2022-11-05 12:00:00,-32.0,1.0,-31.972712405949387,0.00041711355334003605,-33.65075678055452,0.18520579967937545,-34.343520445163364,0.12659573400852503
2022-11-05 13:00:00,-31.0,0.0,-31.36869545143484,0.60401695451455,-32.557848463666765,1.0929083168877542,-33.28091303634994,1.0626074088134239
2022-11-05 14:00:00,-31.0,3.0,-31.18780981495428,0.18088563648055878,-32.17134412330038,0.38650434036638437,-32.916006544690084,0.3649064916598565
2022-11-05 15:00:00,-28.0,0.0,-30.80437569042467,0.3834341245296096,-31.486112166261993,0.6852319570383871,-32.25396623465749,0.6620403100325967
2022-11-05 16:00:00,-28.0,0.0,-30.040122393494933,0.7642532969297389,-30.210172734755798,1.2759394315061958,-30.990492794519636,1.2634734401378542
2022-11-05 17:00:00,-28.0,3.0,-29.588645216935888,0.4514771765590438,-29.49419533202476,0.715977402731037,-30.311495039074476,0.6789977554451583
2022-11-05 18:00:00,-25.0,1.0,-29.085720788162572,0.502924428773316,-28.69990140121552,0.7942939308092395,-29.548900070598396,0.7625949684760781
2022-11-05 19:00:00,-24.0,2.0,-28.49946721390462,0.5862535742579528,-27.762669995561488,0.9372314056540335,-28.62360784734946,0.9252922232489333
2022-11-05 20:00:00,-22.0,3.0,-27.58668065621387,0.91278655769075,-26.29760547092163,1.4650645246398553,-27.134539425771695,1.4890684215777668
2022-11-05 21:00:00,-19.0,0.0,-26.668356766081143,0.9183238901327252,-24.909853901473095,1.3877515694485367,-25.701197041269637,1.43334238450206
2022-11-05 22:00:00,-19.0,0.0,-26.11144960854174,0.5569071575394029,-24.090345305591324,0.8195085958817725,-24.85983042990537,0.8413666113642696
2022-11-05 23:00:00,-19.0,2.0,-25.44824439613283,0.6632052124089125,-23.13093206415644,0.9594132414348838,-23.86579686338837,0.9940335665170019
2022-11-06 00:00:00,-17.0,0.0,-24.60273227710725,0.8455121190255771,-21.91028909305647,1.220642971099969,-22.597069302308505,1.2687275610798623
2022-11-06 01:00:00,-17.0,-1.0,-23.78481050377907,0.8179217733281786,-20.754060701479847,1.1562283915766212,-21.396343077618784,1.2007262246897221
2022-11-06 02:00:00,-18.0,1.0,-22.97846226610716,0.8063482376719096,-19.6588476661046,1.0952130353752498,-20.256177336299498,1.1401657413192874
2022-11-06 03:00:00,-17.0,-1.0,-22.177489132371143,0.8009731337360193,-18.62143014410425,1.0374175220003499,-19.16109521648043,1.095082119819068
2022-11-06 04:00:00,-18.0,0.0,-21.32015041871344,0.8573387136577054,-17.6387582070554,0.9826719370488488,-18.09054234418591,1.070552872294519
2022-11-06 05:00:00,-18.0,-2.0,-20.480179931012795,0.8399704877006441,-16.70794287438068,0.9308153326747175,-17.064132574460032,1.0264097697258778
2022-11-06 06:00:00,-20.0,-1.0,-20.31695073022558,0.16322920078721231,-16.767829752891597,-0.059886878510914676,-17.055140048312733,0.008992526147298674
2022-11-06 07:00:00,-21.0,0.0,-19.653347251826364,0.6636034783992167,-16.123643630923766,0.6441861219678316,-16.32543899880756,0.7297010495051752
2022-11-06 08:00:00,-21.0,1.0,-19.154009293060536,0.4993379587658291,-15.764657637699441,0.3589859932243249,-15.889414330299838,0.4360246685077226
2022-11-06 09:00:00,-20.0,4.0,-18.92526125663853,0.2287480364220041,-15.783711034453098,-0.019053396753657026,-15.855024193961166,0.0343901363386713
2022-11-06 10:00:00,-16.0,1.0,-18.663987532544713,0.2612737240938201,-15.761132740680727,0.02257829377237075,-15.749785238405764,0.10523895555540141
2022-11-06 11:00:00,-15.0,1.0,-18.210446297050925,0.4535412354937875,-15.455958375635761,0.30517436504496664,-15.351527331849578,0.3982579065561851
2022-11-06 12:00:00,-14.0,3.0,-17.665026510965152,0.5454197860857734,-14.983596176937295,0.4723621986984663,-14.788020665631894,0.5635066662176831
2022-11-06 13:00:00,-11.0,1.0,-17.06249884830989,0.6025276626552629,-14.458333463690225,0.5252627132470695,-14.172046492113571,0.6159741735183227
2022-11-06 14:00:00,-10.0,-3.0,-17.291687141974627,-0.2291882936647386,-15.045071285763452,-0.586737822073226,-14.729631578503962,-0.5575850863903912
2022-11-06 15:00:00,-13.0,-1.0,-17.310233830460273,-0.018546688485644454,-15.352847789310081,-0.3077765035466288,-14.98835198802319,-0.25872040951922765
2022-11-06 16:00:00,-14.0,1.0,-16.47250154709681,0.8377322833634608,-14.542662290152052,0.8101854991580292,-14.096786440436885,0.8915655475863045
2022-11-06 17:00:00,-13.0,0.0,-15.653790881695993,0.8187106654008178,-13.775231109414543,0.7674311807375089,-13.240004888347077,0.8567815520898086
2022-11-06 18:00:00,-13.0,1.0,-14.801222901450044,0.8525679802459483,-13.048298057934081,0.7269330514804615,-12.394701806160022,0.8453030821870546
2022-11-06 19:00:00,-12.0,2.0,-13.883503505246653,0.9177193962033916,-12.359726007959688,0.6885720499743928,-11.532103938938883,0.8625978672211387
2022-11-06 20:00:00,-10.0,0.0,-14.003452653622547,-0.1199491483758942,-12.890033712892782,-0.530307704933093,-11.955587705985145,-0.4234837670462616
2022-11-06 21:00:00,-10.0,2.0,-13.263774473219147,0.7396781804034003,-12.209813434468908,0.6802202784238741,-11.180517688403523,0.7750700175816231
2022-11-06 22:00:00,-8.0,4.0,-12.51026588338748,0.7535085898316679,-11.565489076683026,0.6443243577858812,-10.398348083356066,0.7821696050474578
2022-11-06 23:00:00,-4.0,6.0,-11.742497262528607,0.7677686208588724,-10.955166375045648,0.6103227016373778,-9.621875067218173,0.7764730161378919
2022-11-07 00:00:00,2.0,0.0,-10.938538893873645,0.8039583686549627,-10.377051027344121,0.5781153477015268,-8.849537220626422,0.772337846591751
2022-11-07 01:00:00,2.0,1.0,-9.999095291738767,0.9394436021348777,-9.82944341853092,0.5476076088132013,-8.021507910586847,0.8280293100395759
2022-11-07 02:00:00,3.0,-3.0,-9.129447784317946,0.8696475074208213,-9.310733623984982,0.5187097945459372,-7.275250374868449,0.746257535718398
2022-11-07 03:00:00,0.0,-2.0,-8.379220318792564,0.7502274655253817,-8.819396676456064,0.49133694752891843,-6.631223265835183,0.6440271090332664
2022-11-07 04:00:00,-2.0,0.0,-7.6270371792199825,0.7521831395725811,-8.353988082777281,0.4654085936787832,-5.995651589243223,0.63557167659196
2022-11-07 05:00:00,-2.0,9.0,-6.614114879568966,1.012922299651016,-7.913139577165327,0.4408485056119539,-5.197237868573215,0.7984137206700083
2022-11-07 06:00:00,7.0,3.0,-5.443395372726384,1.1707195068425817,-7.495555098623386,0.4175844785419413,-4.319046848829991,0.8781910197432237
2022-11-07 07:00:00,10.0,2.0,-4.23655857144591,1.2068368012804735,-7.100006980620609,0.39554811800277706,-3.444115629310299,0.8749312195196925
2022-11-07 08:00:00,12.0,1.0,-2.9283497111527055,1.3082088602932045,-6.725332341846111,0.3746746387744977,-2.5035503590257053,0.9405652702845938
2022-11-07 09:00:00,13.0,-3.0,-1.1490352367007381,1.7793144744519673,-6.370429667426574,0.3549026744195373,-1.3538385140129816,1.1497118450127237
2022-11-07 10:00:00,10.0,-17.0,-6.7474401514107925,-5.598404914710055,-11.458771350973564,-5.088341683546989,-6.1163555362585456,-4.762517022245564
2022-11-07 11:00:00,-7.0,-19.0,-16.195178655722877,-9.447738504312087,-20.020428042915654,-8.561656691942092,-15.434244264637558,-9.317888728379012
2022-11-07 12:00:00,-26.0,-6.0,-20.9827817648072,-4.787603109084323,-24.13991716006836,-4.119489117152707,-19.92076900685214,-4.486524742214583
2022-11-07 13:00:00,-32.0,-11.0,-30.952308876068187,-9.96952711126099,-33.22090842622781,-9.08099126615945,-29.59783641536101,-9.677067408508869
2022-11-07 14:00:00,-43.0,-13.0,-37.62961334888202,-6.677304472813827,-38.96054315740147,-5.739634731173657,-35.74875845675422,-6.150922041393205
2022-11-07 15:00:00,-56.0,-16.0,-45.494804153074995,-7.865190804192981,-45.89628476567748,-6.935741608276015,-43.17395363624423,-7.425195179490008
2022-11-07 16:00:00,-72.0,-20.0,-55.25422473403746,-9.759420580962463,-55.54366636657018,-9.647381600892702,-52.82884963782019,-9.654896001575965
2022-11-07 17:00:00,-92.0,6.0,-58.22634532251939,-2.972120588481935,-58.03009710625293,-2.486430739682755,-55.083588211165534,-2.2547385733453424
2022-11-07 18:00:00,-86.0,6.0,-57.89885808089281,0.32748724162658643,-57.85039337633329,0.17970372991964556,-54.73311932902532,0.3504688821402152
2022-11-07 19:00:00,-80.0,16.0,-53.42842717511522,4.470430905777592,-54.79756887906136,3.0528244972719247,-51.602318885530245,3.1308004434950782
2022-11-07 20:00:00,-64.0,4.0,-49.088107301126136,4.340319873989079,-51.90584505660276,2.8917238224586,-48.50150190062038,3.1008169849098635
2022-11-07 21:00:00,-60.0,2.0,-44.67518538064574,4.41292192048039,-49.16672046138049,2.7391245952222656,-45.42993979104517,3.0715621095752144
2022-11-07 22:00:00,-58.0,7.0,-41.52018879994884,3.154996580696906,-46.572142275911695,2.594578185468801,-42.84766635439704,2.582273436648128
2022-11-07 23:00:00,-51.0,7.0,-38.530273135380575,2.9899156645682634,-44.11448263813814,2.4576596377735505,-40.3502704438501,2.4973959105469388
2022-11-08 00:00:00,-44.0,6.0,-35.76537279897212,2.764900336408449,-41.78651621609337,2.327966422044771,-37.996706715524006,2.353563728326094
2022-11-08 01:00:00,-38.0,0.0,-33.208492593551505,2.556880205420619,-39.58139896597751,2.2051172501158525,-35.78239653059198,2.2143101849320246
2022-11-08 02:00:00,-38.0,-3.0,-30.926130427144617,2.282362166406888,-37.49264801119034,2.0887509547871743,-33.72234122454335,2.06005530604863
2022-11-08 03:00:00,-41.0,-8.0,-32.454607143878995,-1.5284767167343791,-38.54346311255511,-1.0508151013647673,-35.052054755258766,-1.3297135307154186
2022-11-08 04:00:00,-49.0,-1.0,-32.93152500094536,-0.4769178570663649,-38.72008476473022,-0.17662165217510806,-35.286242649028146,-0.23418789376938215
2022-11-08 05:00:00,-50.0,-2.0,-31.774481450377667,1.1570435505676973,-37.65714623867704,1.062938526053173,-34.180173596884515,1.1060690521436336
2022-11-08 06:00:00,-52.0,-4.0,-31.495221431173952,0.2792600192037157,-37.142923500468925,0.5142227382081204,-33.802378690990544,0.3777949058939677
2022-11-08 07:00:00,-56.0,-8.0,-34.63269310680708,-3.1374716756331282,-40.19905102724992,-3.056127526780995,-37.32271054142783,-3.5203318504372882
2022-11-08 08:00:00,-64.0,-3.0,-36.19591364046846,-1.563220533661378,-43.2861816022967,-3.087130575046781,-40.97016622635722,-3.64745568492939
2022-11-08 09:00:00,-67.0,2.0,-37.76558384008067,-1.5696701996122089,-45.975993866883314,-2.689812264586611,-44.14668029600963,-3.1765140696524043
2022-11-08 10:00:00,-65.0,2.0,-39.458355257148526,-1.6927714170678552,-48.89826810573456,-2.922274238851245,-47.52341213669899,-3.3767318406893567
2022-11-08 11:00:00,-63.0,5.0,-40.608495875401495,-1.150140618252969,-50.499399645197784,-1.601131539463227,-49.47758295859022,-1.954170821891233
2022-11-08 12:00:00,-58.0,4.0,-41.847712520793,-1.2392166453915052,-52.07013911506189,-1.5707394698641068,-51.36127065751287,-1.8836876989226463
2022-11-08 13:00:00,-54.0,2.0,-43.165583529636386,-1.317871008843384,-52.91192539269897,-0.8417862776370799,-52.40439912815425,-1.0431284706413848
2022-11-08 14:00:00,-52.0,1.0,-43.815451285354115,-0.6498677557177271,-53.046620011225315,-0.13469461852634623,-52.708574160242584,-0.30417503208833024
2022-11-08 15:00:00,-51.0,4.0,-44.0680580957485,-0.2526068103943796,-52.70449675074426,0.3421232604810527,-52.484263890430654,0.2243102698119301
2022-11-08 16:00:00,-47.0,3.0,-44.58953900421071,-0.521480908462212,-52.698291651713596,0.0062050990306636855,-52.59922796158277,-0.11496407115211865
2022-11-08 17:00:00,-44.0,2.0,-45.04785018111078,-0.45831117690007517,-52.676495374261755,0.021796277451844315,-52.69577438813406,-0.09654642655129464
2022-11-08 18:00:00,-42.0,-2.0,-45.983190461852196,-0.9353402807414164,-53.226268917569925,-0.5497735433081723,-53.37109264244822,-0.6753182543141588
