datetime,Magnitude,BGSEc_X,BGSEc_Y,BGSEc_Z
2020-01-01 00:00:00,2.617,0.164,0.058,-0.076
2020-01-01 01:00:00,4.197,1.455,-1.228,0.435
2020-01-01 02:00:00,4.371,3.098,-2.634,1.265
2020-01-01 03:00:00,4.555,3.682,-1.727,1.531
2020-01-01 04:00:00,4.066,3.826,-0.941,0.773
2020-01-01 05:00:00,4.485,2.955,-2.466,-0.827
2020-01-01 06:00:00,4.145,2.87,-2.373,-0.116
2020-01-01 07:00:00,3.689,3.259,-0.87,-0.979
2020-01-01 08:00:00,4.117,3.316,-0.037,0.257
2020-01-01 09:00:00,4.437,1.826,-2.527,-1.405
2020-01-01 10:00:00,4.747,3.909,-1.008,1.384
2020-01-01 11:00:00,4.263,-1.086,-1.491,-2.851
2020-01-01 12:00:00,2.957,2.068,-1.257,-0.847
2020-01-01 13:00:00,4.083,3.33,-0.932,-0.147
2020-01-01 14:00:00,3.561,-0.37,-1.414,-1.967
2020-01-01 15:00:00,3.897,2.016,-1.78,-0.352
2020-01-01 16:00:00,4.234,3.363,-2.162,-0.787
2020-01-01 17:00:00,4.214,3.223,-2.453,-0.398
2020-01-01 18:00:00,3.324,2.54,-2.075,-0.067
2020-01-01 19:00:00,2.988,2.146,-1.953,0.251
2020-01-01 20:00:00,2.592,1.603,-0.458,0.77
2020-01-01 21:00:00,3.419,2.876,-0.792,1.558
2020-01-01 22:00:00,3.283,3.024,0.577,0.405
2020-01-01 23:00:00,3.32,2.876,1.366,-0.28
2020-01-02 00:00:00,3.328,2.673,1.532,0.171
2020-01-02 01:00:00,3.596,1.761,2.726,0.458
2020-01-02 02:00:00,3.826,2.099,2.434,1.275
2020-01-02 03:00:00,3.776,2.744,-1.304,1.652
2020-01-02 04:00:00,3.638,1.641,-0.852,1.409
2020-01-02 05:00:00,3.464,-0.718,-2.845,-1.611
2020-01-02 06:00:00,3.587,-2.175,-0.822,-2.338
2020-01-02 07:00:00,4.001,0.715,-3.015,-0.275
2020-01-02 08:00:00,4.282,3.517,-1.131,1.237
2020-01-02 09:00:00,3.472,2.386,-1.9,0.991
2020-01-02 10:00:00,2.828,1.782,-0.875,0.119
2020-01-02 11:00:00,1.974,1.053,-1.017,-0.982
2020-01-02 12:00:00,2.238,0.738,-1.4,-1.47
2020-01-02 13:00:00,2.385,0.904,-1.833,-0.868
2020-01-02 14:00:00,2.843,-0.224,-2.35,-1.038
2020-01-02 15:00:00,2.924,-0.789,-1.407,-1.543
2020-01-02 16:00:00,3.106,1.289,0.989,0.662
2020-01-02 17:00:00,3.551,2.771,-0.115,1.943
2020-01-02 18:00:00,3.324,2.318,0.319,1.291
2020-01-02 19:00:00,4.051,1.561,-2.539,1.871
2020-01-02 20:00:00,5.166,0.111,-4.7,-0.711
2020-01-02 21:00:00,4.602,1.414,-3.965,0.339
2020-01-02 22:00:00,3.818,1.628,-3.183,1.107
2020-01-02 23:00:00,2.158,1.379,0.187,0.906
2020-01-03 00:00:00,2.94,-1.407,0.99,-0.38
2020-01-03 01:00:00,3.631,-2.678,0.233,-1.757
2020-01-03 02:00:00,3.025,0.543,1.282,-0.485
2020-01-03 03:00:00,4.603,-1.756,3.014,-2.525
2020-01-03 04:00:00,6.433,-3.11,2.473,-4.168
2020-01-03 05:00:00,7.084,-4.395,-3.945,-2.083
2020-01-03 06:00:00,7.617,-0.879,-5.68,-1.874
2020-01-03 07:00:00,9.302,-0.373,-7.322,-5.513
2020-01-03 08:00:00,7.24,0.547,-2.851,0.084
2020-01-03 09:00:00,6.819,2.459,-0.294,5.877
2020-01-03 10:00:00,5.756,-0.079,-4.008,-1.273
2020-01-03 11:00:00,5.351,-0.289,-4.535,-0.528
2020-01-03 12:00:00,4.985,-0.342,-3.34,1.16
2020-01-03 13:00:00,6.284,-0.154,-4.311,-3.825
2020-01-03 14:00:00,6.214,1.503,-5.54,-0.581
2020-01-03 15:00:00,6.647,1.778,-4.992,2.255
2020-01-03 16:00:00,6.133,2.833,-0.923,4.913
2020-01-03 17:00:00,6.219,2.86,0.93,4.61
2020-01-03 18:00:00,4.47,2.408,-2.756,0.04
2020-01-03 19:00:00,5.213,2.945,-0.993,3.429
2020-01-03 20:00:00,5.841,1.699,-2.937,-2.072
2020-01-03 21:00:00,5.668,2.127,-4.027,-2.557
2020-01-03 22:00:00,4.998,3.551,-2.363,-0.233
2020-01-03 23:00:00,4.494,-1.184,-1.093,-1.836
2020-01-04 00:00:00,4.091,-1.594,-0.545,-2.959
2020-01-04 01:00:00,4.618,1.393,-1.968,1.536
2020-01-04 02:00:00,4.523,1.901,-2.68,2.878
2020-01-04 03:00:00,4.144,2.25,-3.051,0.018
2020-01-04 04:00:00,4.105,3.737,-1.353,0.157
2020-01-04 05:00:00,3.645,2.696,-1.807,-0.393
2020-01-04 06:00:00,2.88,2.154,-0.318,-0.826
2020-01-04 07:00:00,2.216,0.836,-1.111,-0.83
2020-01-04 08:00:00,2.042,-0.422,-1.631,-0.159
2020-01-04 09:00:00,3.864,0.01,-3.499,-0.915
2020-01-04 10:00:00,4.465,1.207,-3.217,-2.509
2020-01-04 11:00:00,4.399,0.037,-4.013,-1.617
2020-01-04 12:00:00,4.913,-0.09,-4.164,-2.302
2020-01-04 13:00:00,6.0,-0.455,-4.871,-2.947
2020-01-04 14:00:00,6.921,-0.096,-5.393,-4.095
2020-01-04 15:00:00,7.5,0.383,-6.251,-4.078
2020-01-04 16:00:00,7.597,-0.138,-6.812,-3.111
2020-01-04 17:00:00,7.574,0.438,-7.177,-2.199
2020-01-04 18:00:00,7.833,0.339,-7.419,-2.231
2020-01-04 19:00:00,8.105,0.83,-7.529,-2.258
2020-01-04 20:00:00,8.237,1.92,-7.632,-2.057
2020-01-04 21:00:00,8.347,2.649,-7.777,-1.282
2020-01-04 22:00:00,8.839,2.54,-8.391,-0.852
2020-01-04 23:00:00,9.2,2.362,-8.824,-0.589
2020-01-05 00:00:00,9.368,3.103,-8.754,-0.325
2020-01-05 01:00:00,9.045,3.705,-8.085,0.139
2020-01-05 02:00:00,9.035,2.173,-8.697,-0.61
2020-01-05 03:00:00,9.759,3.147,-9.12,0.447
2020-01-05 04:00:00,9.917,2.994,-9.353,0.5
2020-01-05 05:00:00,9.619,4.731,-5.86,2.607
2020-01-05 06:00:00,9.839,6.513,-0.242,7.034
2020-01-05 07:00:00,8.872,5.299,-4.397,4.374
2020-01-05 08:00:00,7.062,3.392,-4.171,3.185
2020-01-05 09:00:00,9.204,2.484,-7.627,4.034
2020-01-05 10:00:00,9.678,0.386,-8.375,-0.362
2020-01-05 11:00:00,10.283,-0.306,-9.203,-0.637
2020-01-05 12:00:00,9.897,2.065,-4.1,0.365
2020-01-05 13:00:00,9.021,3.31,-7.182,2.218
2020-01-05 14:00:00,7.705,3.08,-5.281,2.575
2020-01-05 15:00:00,7.975,3.208,-4.118,-3.373
2020-01-05 16:00:00,11.724,4.979,4.365,6.582
2020-01-05 17:00:00,11.858,-1.404,0.795,-7.114
2020-01-05 18:00:00,8.954,2.642,-5.424,0.178
2020-01-05 19:00:00,7.751,-0.43,-4.427,-0.881
2020-01-05 20:00:00,7.606,2.423,-5.098,3.348
2020-01-05 21:00:00,6.189,2.402,-4.31,1.731
2020-01-05 22:00:00,5.149,1.545,-2.084,1.215
2020-01-05 23:00:00,3.407,-0.435,-2.012,-1.652
2020-01-06 00:00:00,3.153,1.39,-0.976,-0.916
2020-01-06 01:00:00,3.656,-0.007,-2.925,0.55
2020-01-06 02:00:00,3.761,0.61,-3.362,0.513
2020-01-06 03:00:00,3.605,-0.504,-1.866,-2.284
2020-01-06 04:00:00,4.638,-0.815,-4.115,0.458
2020-01-06 05:00:00,4.318,1.304,-3.551,1.14
2020-01-06 06:00:00,4.475,2.987,-1.839,2.619
2020-01-06 07:00:00,4.47,2.179,-1.411,3.395
2020-01-06 08:00:00,3.955,2.467,-0.964,2.229
2020-01-06 09:00:00,3.459,-0.292,-2.141,2.195
2020-01-06 10:00:00,3.966,2.509,-1.388,1.174
2020-01-06 11:00:00,4.721,4.514,-0.011,1.125
2020-01-06 12:00:00,4.875,4.702,0.105,1.08
2020-01-06 13:00:00,5.427,5.113,-0.571,1.596
2020-01-06 14:00:00,5.121,4.828,0.152,1.434
2020-01-06 15:00:00,3.646,-0.145,-1.046,-0.118
