datetime,Magnitude,BGSEc_X,BGSEc_Y,BGSEc_Z
2024-01-01 00:00:00,4.988,3.372,-1.424,-2.732
2024-01-01 01:00:00,3.694,2.431,-1.939,-1.612
2024-01-01 02:00:00,4.086,2.95,-2.193,-0.838
2024-01-01 03:00:00,4.248,1.958,-1.019,-3.165
2024-01-01 04:00:00,4.277,-0.345,0.666,-3.475
2024-01-01 05:00:00,4.606,-2.97,0.099,-3.308
2024-01-01 06:00:00,4.525,-3.099,0.056,-3.144
2024-01-01 07:00:00,4.582,-2.652,-0.383,-3.596
2024-01-01 08:00:00,5.383,-2.016,-1.98,-4.297
2024-01-01 09:00:00,6.087,-1.635,-3.271,-4.327
2024-01-01 10:00:00,8.215,1.445,-7.548,-2.621
2024-01-01 11:00:00,7.688,3.742,-6.555,-0.814
2024-01-01 12:00:00,5.296,3.142,-3.632,0.583
2024-01-01 13:00:00,5.356,-1.692,0.111,-4.067
2024-01-01 14:00:00,8.296,-4.129,0.272,-6.656
2024-01-01 15:00:00,9.614,-2.661,-4.605,-7.119
2024-01-01 16:00:00,10.243,-0.896,-8.668,-5.03
2024-01-01 17:00:00,10.445,0.877,-9.874,-1.304
2024-01-01 18:00:00,10.098,2.089,-8.947,2.887
2024-01-01 19:00:00,10.533,1.395,-10.065,-0.111
2024-01-01 20:00:00,10.399,-2.438,-6.406,-6.854
2024-01-01 21:00:00,10.017,0.625,-5.783,-0.93
2024-01-01 22:00:00,9.005,-5.187,-0.08,-6.468
2024-01-01 23:00:00,5.689,-3.309,1.761,-2.778
2024-01-02 00:00:00,10.013,-1.223,-2.344,-5.946
2024-01-02 01:00:00,11.385,4.673,-6.878,0.204
2024-01-02 02:00:00,10.27,5.814,-6.508,3.68
2024-01-02 03:00:00,9.162,5.103,-6.29,2.511
2024-01-02 04:00:00,8.553,5.879,-4.397,3.176
2024-01-02 05:00:00,7.955,6.705,-2.785,0.924
2024-01-02 06:00:00,7.134,4.182,-2.853,3.635
2024-01-02 07:00:00,7.508,4.918,-3.066,3.749
2024-01-02 08:00:00,7.386,5.352,-2.713,3.616
2024-01-02 09:00:00,6.271,3.643,-0.992,-0.911
2024-01-02 10:00:00,6.729,4.646,-0.039,-2.274
2024-01-02 11:00:00,6.799,2.425,-3.182,-3.961
2024-01-02 12:00:00,6.502,3.31,0.795,-3.721
2024-01-02 13:00:00,6.553,3.754,-1.429,-1.292
2024-01-02 14:00:00,6.187,2.758,1.919,-4.335
2024-01-02 15:00:00,6.296,4.706,1.911,-0.005
2024-01-02 16:00:00,7.37,2.102,-1.645,5.762
2024-01-02 17:00:00,8.572,-0.477,-7.494,-0.837
2024-01-02 18:00:00,8.056,1.61,-7.285,1.149
2024-01-02 19:00:00,7.365,3.258,-2.269,2.802
2024-01-02 20:00:00,6.971,3.346,-4.956,1.899
2024-01-02 21:00:00,7.027,5.371,1.443,3.84
2024-01-02 22:00:00,7.102,5.083,-3.463,2.178
2024-01-02 23:00:00,7.222,1.654,-6.541,-1.262
2024-01-03 00:00:00,6.383,1.431,-4.255,-0.235
2024-01-03 01:00:00,6.335,1.772,-5.753,-0.632
2024-01-03 02:00:00,6.762,1.034,-5.688,-1.944
2024-01-03 03:00:00,6.845,3.194,-5.701,0.652
2024-01-03 04:00:00,6.968,3.559,-4.646,2.606
2024-01-03 05:00:00,10.9,5.499,-1.125,8.335
2024-01-03 06:00:00,9.696,4.321,-1.81,4.203
2024-01-03 07:00:00,8.952,0.293,-7.845,-2.887
2024-01-03 08:00:00,7.04,3.376,-2.635,-3.9
2024-01-03 09:00:00,4.998,3.913,-0.563,-1.378
2024-01-03 10:00:00,5.725,4.649,-1.182,-1.835
2024-01-03 11:00:00,5.618,3.985,-0.602,-3.36
2024-01-03 12:00:00,5.219,4.911,-0.499,0.883
2024-01-03 13:00:00,4.776,4.644,0.018,0.192
2024-01-03 14:00:00,7.451,4.991,-1.709,3.766
2024-01-03 15:00:00,6.827,2.139,0.092,1.025
2024-01-03 16:00:00,6.041,2.457,-0.264,0.589
2024-01-03 17:00:00,7.005,5.723,-2.412,0.944
2024-01-03 18:00:00,7.323,-0.102,-4.66,-5.137
2024-01-03 19:00:00,8.731,0.064,-7.814,-3.496
2024-01-03 20:00:00,8.532,1.309,-7.533,-1.0
2024-01-03 21:00:00,8.214,3.748,-5.147,4.631
2024-01-03 22:00:00,8.671,4.489,-4.564,5.571
2024-01-03 23:00:00,8.491,4.351,-4.555,5.366
2024-01-04 00:00:00,7.705,2.592,-6.417,2.892
2024-01-04 01:00:00,7.243,2.549,-5.989,2.978
2024-01-04 02:00:00,6.997,2.275,-6.171,1.668
2024-01-04 03:00:00,6.64,1.881,-5.186,3.466
2024-01-04 04:00:00,6.211,1.44,-5.293,2.357
2024-01-04 05:00:00,5.831,2.257,-4.886,1.742
2024-01-04 06:00:00,5.345,3.196,-3.783,0.807
2024-01-04 07:00:00,5.193,1.913,-4.283,0.82
2024-01-04 08:00:00,4.895,2.677,-3.703,-0.341
2024-01-04 09:00:00,4.498,3.588,-1.689,1.535
2024-01-04 10:00:00,4.446,4.329,-0.29,0.272
2024-01-04 11:00:00,4.21,3.813,0.212,1.241
2024-01-04 12:00:00,3.917,3.357,-0.333,0.983
2024-01-04 13:00:00,3.868,-1.093,-2.564,-1.848
2024-01-04 14:00:00,3.868,-0.824,-3.211,-1.052
2024-01-04 15:00:00,3.646,-0.939,-2.676,-0.166
2024-01-04 16:00:00,3.51,0.192,-2.186,-1.286
2024-01-04 17:00:00,3.561,1.096,-1.207,-2.813
2024-01-04 18:00:00,3.614,2.226,0.528,-2.679
2024-01-04 19:00:00,3.428,0.266,-0.087,-3.14
2024-01-04 20:00:00,3.469,2.216,0.213,-2.183
2024-01-04 21:00:00,3.539,2.87,0.462,-1.608
2024-01-04 22:00:00,3.665,-0.31,-1.428,-2.417
2024-01-04 23:00:00,3.51,2.542,0.394,-0.917
2024-01-05 00:00:00,3.715,-0.599,0.582,-3.232
2024-01-05 01:00:00,3.691,1.751,0.036,-1.672
2024-01-05 02:00:00,3.65,1.963,0.462,-2.265
2024-01-05 03:00:00,3.807,3.113,0.768,-0.806
2024-01-05 04:00:00,3.922,3.576,0.463,0.234
2024-01-05 05:00:00,3.818,3.384,0.488,-0.524
2024-01-05 06:00:00,4.021,3.772,0.783,0.079
2024-01-05 07:00:00,3.856,3.348,1.518,0.277
2024-01-05 08:00:00,3.518,2.883,0.269,0.71
2024-01-05 09:00:00,3.37,2.424,0.327,0.319
2024-01-05 10:00:00,2.967,2.462,0.262,-0.518
2024-01-05 11:00:00,2.561,1.277,0.21,-0.926
2024-01-05 12:00:00,3.019,1.466,0.633,-2.237
2024-01-05 13:00:00,2.862,0.284,-0.157,-2.319
2024-01-05 14:00:00,3.347,-2.525,0.021,-1.6
2024-01-05 15:00:00,3.497,-1.276,-1.427,-2.084
2024-01-05 16:00:00,2.838,1.623,-0.523,-0.92
2024-01-05 17:00:00,2.766,-0.309,-0.72,-0.775
2024-01-05 18:00:00,3.386,1.949,0.783,-0.392
2024-01-05 19:00:00,3.616,2.485,1.61,0.756
2024-01-05 20:00:00,3.729,3.193,0.652,0.695
2024-01-05 21:00:00,3.094,0.699,2.067,-1.731
2024-01-05 22:00:00,3.349,2.849,1.127,-0.311
2024-01-05 23:00:00,3.263,2.984,0.075,-1.02
2024-01-06 00:00:00,3.061,2.322,0.34,-1.753
2024-01-06 01:00:00,2.941,1.847,-1.337,-1.198
2024-01-06 02:00:00,2.656,1.607,-1.329,-0.772
2024-01-06 03:00:00,2.73,-0.768,-1.493,-0.501
2024-01-06 04:00:00,3.039,0.511,-2.678,0.516
2024-01-06 05:00:00,3.072,-0.08,-2.745,0.452
2024-01-06 06:00:00,2.925,1.107,-2.34,0.319
2024-01-06 07:00:00,2.992,1.926,-1.649,0.314
2024-01-06 08:00:00,2.962,2.319,-1.243,-0.28
2024-01-06 09:00:00,3.033,2.642,-1.066,-0.197
2024-01-06 10:00:00,3.058,2.783,-0.914,0.257
2024-01-06 11:00:00,3.217,2.937,-0.918,0.572
2024-01-06 12:00:00,3.153,2.999,0.212,0.304
2024-01-06 13:00:00,3.127,3.037,0.299,0.077
2024-01-06 14:00:00,3.159,3.002,0.385,0.329
2024-01-06 15:00:00,2.968,2.891,-0.245,0.096
2024-01-06 16:00:00,2.814,2.553,-0.638,0.117
2024-01-06 17:00:00,2.64,1.667,-1.719,-0.165
2024-01-06 18:00:00,2.539,0.618,-1.238,-1.672
2024-01-06 19:00:00,2.486,0.921,-1.063,-1.431
2024-01-06 20:00:00,2.935,-0.717,-2.111,-1.699
2024-01-06 21:00:00,2.94,-0.247,-2.657,-0.386
2024-01-06 22:00:00,2.897,-0.833,-2.077,-1.483
2024-01-06 23:00:00,2.792,0.124,-2.586,-0.076
2024-01-07 00:00:00,2.717,0.891,-2.349,0.32
2024-01-07 01:00:00,2.692,1.204,-2.14,-0.127
2024-01-07 02:00:00,3.005,1.525,-2.177,1.119
2024-01-07 03:00:00,2.998,2.013,-1.864,0.726
