datetime,V_GSM_X,V_GSM_Y,V_GSM_Z,Vp,Np,Tpr
2008-01-01 00:00:00,-365.195,23.599,-8.148,366.11,,
2008-01-01 01:00:00,-363.58,21.512,-5.823,364.27,,
2008-01-01 02:00:00,-372.091,22.995,-12.265,373.01,,
2008-01-01 03:00:00,-383.465,19.497,-21.334,384.6,,
2008-01-01 04:00:00,-388.636,16.864,-26.372,389.95,,
2008-01-01 05:00:00,-382.9,15.153,-21.871,383.85,,
2008-01-01 06:00:00,-378.855,13.516,-17.522,379.53,,
2008-01-01 07:00:00,-378.403,15.91,-23.514,379.48,,
2008-01-01 08:00:00,-376.626,19.111,-21.468,377.71,,
2008-01-01 09:00:00,-374.651,16.517,-19.096,375.51,,
2008-01-01 10:00:00,-374.18,16.56,-13.605,374.81,,
2008-01-01 11:00:00,-372.13,17.128,-11.778,372.73,,
2008-01-01 12:00:00,-366.401,19.499,-9.508,367.1,,
2008-01-01 13:00:00,-365.63,19.101,-10.25,366.35,,
2008-01-01 14:00:00,-363.807,15.331,-11.21,364.37,,
2008-01-01 15:00:00,-364.521,14.2,-15.464,365.16,,
2008-01-01 16:00:00,-361.822,13.835,-16.392,362.49,,
2008-01-01 17:00:00,-355.368,12.827,-10.814,355.81,,
2008-01-01 18:00:00,-351.687,14.513,-8.933,352.17,,
2008-01-01 19:00:00,-342.241,5.621,0.045,342.36,,
2008-01-01 20:00:00,-352.647,11.566,-5.588,352.95,,
2008-01-01 21:00:00,-364.848,11.246,-13.842,365.3,,
2008-01-01 22:00:00,-354.933,8.517,-2.708,355.11,,
2008-01-01 23:00:00,-345.736,1.827,3.559,345.87,,
2008-01-02 00:00:00,-336.868,2.131,8.647,337.08,,
2008-01-02 01:00:00,-332.641,12.699,9.49,333.01,,
2008-01-02 02:00:00,-334.234,21.212,10.076,334.98,,
2008-01-02 03:00:00,-334.63,13.444,13.381,335.11,,
2008-01-02 04:00:00,-328.325,6.257,15.544,328.71,,
