datetime,V_GSM_X,V_GSM_Y,V_GSM_Z,Vp,Np,Tpr
2024-01-01 00:00:00,-314.189,-7.457,4.836,314.44,,26234.8
2024-01-01 01:00:00,-317.091,-6.915,-1.551,317.19,,27343.8
2024-01-01 02:00:00,-315.899,-5.182,-7.142,316.0,,25618.7
2024-01-01 03:00:00,-316.052,-4.479,-10.073,316.18,,25542.7
2024-01-01 04:00:00,-320.442,-0.638,-17.402,320.79,,22629.6
2024-01-01 05:00:00,-330.352,-2.107,-17.019,330.67,,19321.6
2024-01-01 06:00:00,-333.045,-4.538,-14.874,333.3,,19799.1
2024-01-01 07:00:00,-331.934,-5.332,-13.235,332.16,,17885.6
2024-01-01 08:00:00,-332.942,-7.696,-11.164,333.19,,22153.1
2024-01-01 09:00:00,-333.941,-12.462,-9.042,334.29,,25321.8
2024-01-01 10:00:00,-328.038,-13.154,2.835,328.35,,28815.5
2024-01-01 11:00:00,-325.559,4.332,4.039,326.08,,35680.4
2024-01-01 12:00:00,-350.035,19.388,-19.423,351.4,,86881.8
2024-01-01 13:00:00,-353.351,14.224,-21.357,354.51,,75744.7
2024-01-01 14:00:00,-349.609,2.66,-7.754,349.83,,46101.5
2024-01-01 15:00:00,-352.235,8.263,-5.275,352.51,,63287.8
2024-01-01 16:00:00,-354.001,16.077,-13.419,354.89,,73594.6
2024-01-01 17:00:00,-354.779,6.954,-24.772,355.95,,70944.2
2024-01-01 18:00:00,-354.304,4.684,-21.235,355.19,,72105.1
2024-01-01 19:00:00,-344.98,-0.395,-12.013,345.4,,49088.7
2024-01-01 20:00:00,-349.536,1.793,-23.344,350.65,,49598.7
2024-01-01 21:00:00,-349.189,5.514,-18.976,350.16,,55007.5
2024-01-01 22:00:00,-355.136,5.123,-25.164,356.16,,51641.5
2024-01-01 23:00:00,-352.706,9.253,-33.846,354.53,,73455.0
2024-01-02 00:00:00,-367.593,27.751,-46.637,371.59,,81966.0
2024-01-02 01:00:00,-381.886,45.561,-56.738,388.53,,91778.5
2024-01-02 02:00:00,-393.105,69.39,-58.487,403.26,7.0077,137988.1
2024-01-02 03:00:00,-391.403,64.95,-67.977,402.18,6.9038,157251.3
2024-01-02 04:00:00,-386.352,64.465,-56.729,395.66,7.0143,159700.3
2024-01-02 05:00:00,-380.71,59.638,-64.068,390.33,6.5772,157851.8
2024-01-02 06:00:00,-386.944,47.059,-43.937,392.23,5.7995,148998.2
2024-01-02 07:00:00,-382.336,40.791,-39.277,386.54,5.313,131293.5
2024-01-02 08:00:00,-381.786,34.95,-39.899,385.51,5.3463,137656.1
2024-01-02 09:00:00,-384.922,35.893,-64.907,392.74,5.8869,147248.1
2024-01-02 10:00:00,-387.359,25.984,-63.09,393.9,5.2579,135521.6
2024-01-02 11:00:00,-396.033,8.52,-69.536,402.59,5.5823,103301.0
2024-01-02 12:00:00,-388.017,31.902,-64.647,395.4,5.9983,124262.3
2024-01-02 13:00:00,-386.43,24.737,-55.243,392.35,6.0132,103172.8
2024-01-02 14:00:00,-381.274,52.78,-59.763,389.98,10.6084,84124.4
2024-01-02 15:00:00,-371.475,50.767,-23.377,376.47,10.1292,90041.6
